"RB","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","1","David Johnson","NO","5","","1","","1","","1.0"
"2","2","Le'Veon Bell","","","","2","","2","","2.0"
"3","5","LeSean McCoy","","","","3","","4","","3.3"
"4","7","Devonta Freeman","","","","4","","3","","3.8"
"5","8","Melvin Gordon III","KC","10","","5","","5","","5.0"
"6","11","DeMarco Murray","","","","6","","8","","7.0"
"7","13","Jay Ajayi","","","","9","","7","","7.5"
"8","14","Ezekiel Elliott","DAL","6","","7","","6","","7.8"
"9","15","Jordan Howard","","","","8","","9","","7.8"
"10","18","Todd Gurley II","","","","10","","10","","10.3"
"11","24","Leonard Fournette","TB","1","","11","","11","","11.3"
"12","27","Christian McCaffrey","SF","11","","13","","15","","13.3"
"13","26","Marshawn Lynch","","","","14","","14","","14.0"
"14","30","Isaiah Crowell","","","","15","","13","","14.0"
"15","29","Lamar Miller","","","","12","","17","","14.3"
"16","33","Dalvin Cook","MIN","9","","16","","16","","15.3"
"17","44","Kareem Hunt","CLE","9","","19","","12","","16.3"
"18","35","Carlos Hyde","","","","17","","18","","18.0"
"19","42","Ty Montgomery","NE","9","","20","","19","","19.5"
"20","39","Joe Mixon","CIN","6","","18","","20","","19.8"
"21","50","Mark Ingram II","NO","5","","22","","24","","21.3"
"22","46","C.J. Anderson","","","","21","","21","","21.8"
"23","61","Ameer Abdullah","LV","","","23","","23","","23.8"
"24","66","Doug Martin","","","","26","","22","","25.3"
"25","59","Bilal Powell","","","","28","","26","","25.3"
"26","63","Tevin Coleman","SF","11","","24","","31","","25.5"
"27","62","Mike Gillislee","","","","25","","25","","25.8"
"28","70","Adrian Peterson","","","","27","","27","","29.3"
"29","79","Robert Kelley","","","","33","","28","","29.8"
"30","73","Frank Gore","","","","29","","35","","31.5"
"31","83","Paul Perkins","","","","31","","33","","32.3"
"32","96","Terrance West","","","","38","","34","","33.3"
"33","85","Derrick Henry","TEN","8","","30","","30","","33.3"
"34","81","LeGarrette Blount","","","","32","","32","","33.3"
"35","86","Danny Woodhead","","","","34","","37","","33.8"
"36","102","Darren McFadden","","","","47","","29","","36.8"
"37","90","Eddie Lacy","","","","35","","38","","37.5"
"38","101","Thomas Rawls","","","","39","","36","","37.8"
"39","99","Jonathan Stewart","","","","36","","39","","38.5"
"40","103","Theo Riddick","","","","37","","47","","41.8"
"41","127","Jacquizz Rodgers","","","","40","","40","","42.5"
"42","115","Duke Johnson Jr.","BUF","6","","41","","45","","43.3"
"43","119","James White","","","","45","","51","","44.3"
"44","114","Samaje Perine","CIN","6","","43","","43","","44.5"
"45","113","Matt Forte","","","","42","","48","","44.8"
