"K","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","120","Stephen Gostkowski","","","1","1","2","1","1","2","","1.2"
"2","126","Greg Zuerlein","NYJ","11","2","2","3","2","2","1","","2.0"
"3","138","Justin Tucker","BAL","10","3","3","1","3","3","3","","3.0"
"4","154","Wil Lutz","NO","6","7","5","5","5","5","4","","5.3"
"5","166","Matt Bryant","","","5","4","7","8","6","9","","6.2"
"6","157","Harrison Butker","KC","12","13","9","4","7","4","7","","6.3"
"7","159","Jake Elliott","PHI","9","9","6","8","4","8","5","","7.2"
"8","171","Chris Boswell","PIT","7 ","4","13","6","11","7","8","","7.3"
"9","172","Robbie Gould","SF","11","8","17","9","6","9","13","","9.3"
"10","185","Matt Prater","ARI","9","10","8","10","12","10","11","","10.2"
"11","191","Mason Crosby","GB","7","6","16","12","10","13","10","","11.2"
"12","208","Adam Vinatieri","","","11","12","14","17","18","15","","13.7"
"13","211","Dan Bailey","","","","7","11","23","12","12","","13.8"
"14","212","Graham Gano","NYG","9 ","12","18","13","19","16","16","","15.3"
"15","207","Daniel Carlson","LV","","","14","15","20","14","6","","16.0"
"16","222","Brandon McManus","DEN","10","","15","24","13","15","14","","17.2"
"17","258","Stephen Hauschka","","","","10","23","15","25","","","17.6"
"18","278","Sebastian Janikowski","","","","11","16","24","26","","","18.8"
"19","223","Josh Lambo","","","","19","18","9","23","","","19.2"
"20","221","Ryan Succop","TB","5","","20","19","18","11","","","19.2"
"21","285","Kai Forbath","LAR","12","","21","","16","21","","","18.5"
"22","272","Dustin Hopkins","LAC","8","","","26","21","22","","","22.5"
"23","273","Phil Dawson ","","","","","27","22","19","","","23.3"
"24","279","Brett Maher","DAL","8","","","21","29","17","","","22.3"
"25","280","Ka'imi Fairbairn","HOU","10","","","25","14","","","","19.5"
"26","283","Caleb Sturgis","","","","","20","25","28","","","24.3"
"27","301","Chandler Catanzaro","","","","","29","28","24","","","26.3"
"28","328","Cairo Santos","CHI","5","","","22","","","","","22.5"
"29","319","Roberto Aguayo","","","","","17","31","","","","24.0"
"30","330","Cody Parkey","","","","","","30","20","","","25.0"
"31","334","Aldrick Rosas","","","","","","27","27","","","27.0"
"32","390","Zane Gonzalez","CAR","4","","","","26","","","","26.0"
"33","355","Mike Nugent ","","","","","28","","","","","28.0"
"34","357","Randy Bullock","TEN","8","","","30","33","","","","31.5"
"35","410","Jason Sanders","MIA","11","","","","32","","","","32.0"
""
""
