"TE","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","21","Rob Gronkowski","","","1","1","1","1","","1.0"
"2","28","Travis Kelce","KC","12","2","2","2","2","","2.0"
"3","39","Zach Ertz","ARI","9","3","3","3","3","","3.0"
"4","49","Jimmy Graham","","","4","4","4","4","","4.2"
"5","59","Greg lsen O","","","5","5","5","5","","4.8"
"6","66","Evan Engram","JAC","9","6","6","7","7","","6.3"
"7","74","Kyle Rudolph","TB","5","7","8","10","8","","8.0"
"8","76","Delanie Walker ","","","8","7","8","9","","8.0"
"9","81","Trey Burton ","","","9","9","9","6","","8.7"
"10","88","Jordan Reed ","","","10","10","6","10","","9.2"
"11","116","Jack Doyle ","","","11","13","12","13","","11.8"
"12","109","David Njoku","CLE","11","12","11","11","11","","11.8"
"13","129","George Kittle","SF","11","15","12","13","12","","13.2"
"14","134","Tyler Eifert ","","","14","14","14","14","","13.5"
"15","147",".J. Howard","HOU","10 O","13","15","16","16","","16.2"
"16","167","Eric Ebron","","","19","19","19","15","","17.5"
"17","193","Jared Cook","","","17","20","21","","","17.4"
"18","190","Austin Seferian-Jenkins","","","21","17","15","","","18.0"
"19","184","Benjamin Watson","","","27","33","24","17","","24.0"
"20","198","Cameron Brate","TB","5","25","16","18","","","20.0"
"21","210","Austin Hooper","TEN","8","24","26","20","18","","22.2"
"22","215","Charles Clay","","","26","37","23","","","24.0"
"23","192","Ricky Seals-Jones","","","29","29","26","19","","24.6"
"24","205","Mike Gesicki","MIA","11","22","22","17","","","21.0"
"25","235","Vance McDonald","","","23","34","25","","","26.5"
"26","263","Jesse James","CLE","11","28","25","43","","","29.3"
"27","260","Vernon Davis","","","32","32","29","","","29.5"
"28","231","Hayden Hurst","CIN","9","30","18","22","","","23.3"
"29","232","Antonio Gates","","","16","31","27","","","24.7"
"30","254","Jake Butt ","","","34","21","31","","","28.7"
"31","250","Dallas Goedert","PHI","9","33","27","28","","","29.3"
"32","275","Nick Vannett","NYG","9","20","41","39","","","33.3"
"33","291","Luke Willson","","","","24","35","","","29.5"
"34","302","Blake Jarwin","","","","28","36","","","32.0"
"35","293","Ryan Griffin","CHI","5","","35","30","","","32.5"
"36","296","Hunter Henry","NE","11","18","53","","","","35.5"
"37","304","Virgil Green","","","","30","38","","","34.0"
"38","320","Mark Andrews","BAL","10","","38","32","","","35.0"
"39","300","Garrett Celek","","","","23","","","","23.0"
"40","333","Geoff Swaim","TEN","8 ","31","","47","","","39.0"
"41","353","Tyler Higbee","LAR","12","","46","33","","","39.5"
"42","339","Rico Gathers","","","","42","37","","","39.5"
"43","362","Jordan Akins","HOU","10","","47","34","","","40.5"
"44","347","Gerald Everett","LAC","8","","40","42","","","41.0"
"45","297","Jaylen Samuels","","","","36","","","","36.0"
"46","369","Tyler Kroft","SF","11 ","","44","41","","","42.5"
"47","346","Adam Shaheen","MIA","11","","39","","","","39.0"
"48","408","Jeff Heuerman ","","","","","40","","","40.0"
"49","366","Jonnu Smith","NE","11 ","","43","","","","43.0"
"50","415","Stephen Anderson","ARI","9","","","44","","","44.0"
"51","374","Marcedes Lewis","GB","7","","45","","","","45.0"
"52","416","Ed Dickson","","","","","45","","","45.0"
"53","418","Chris Herndon IV","","","","","46","","","46.0"
"54","383","Coby Fleener","","","","48","","","","48.0"
"55","420","Seth DeValve","","","","","48","","","48.0"
"56","396","Eric Tomlinson","DEN","10 ","","50","","","","50.0"
"57","401","Aaron Hernandez","","","","51","","","","51.0"
"58","402","Derek Carrier","","","","52","","","","52.0"
""
""
