"DST","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","118","Buffalo Bills (7)","","","1","1","","","1","","1","1.0"
"2","123","Tampa Bay Buccaneers (11)","","","4","2","","","2","","2","3.3"
"3","130","San Francisco 49ers (9)","","","6","3","","","3","","3","4.0"
"4","141","Indianapolis Colts (14)","","","8","5","","","4","","6","4.8"
"5","144","Los Angeles Rams (7)","","","12","4","","","5","","4","6.0"
"6","156","New Orleans Saints (14)","","","3","8","","","6","","5","6.8"
"7","193","Green Bay Packers (14)","","","2","7","","","11","","14","7.8"
"8","171","Dallas Cowboys (9)","","","7","11","","","8","","11","8.5"
"9","168","Denver Broncos (9)","","","15","6","","","7","","12","10.5"
"10","215","Miami Dolphins (11)","","","11","20","","","10","","18","11.8"
"11","187","Baltimore Ravens (10)","","","5","12","","","16","","9","12.0"
"12","188","New England Patriots (10)","","","14","14","","","13","","13","12.0"
"13","183","Pittsburgh Steelers (9)","","","9","16","","","15","","8","13.0"
"14","178","Los Angeles Chargers (8)","","","10","","","","12","","10","10.3"
"15","225","Kansas City Chiefs (8)","","","19","18","","","9","","21","14.8"
"16","223","Philadelphia Eagles (7)","","","13","21","","","17","","15","16.8"
"17","214","Cleveland Browns (9)","","","16","17","","","14","","17","16.8"
"18","228","Washington Commanders (14)","","","17","13","","","18","","16","18.3"
"19","203","Tennessee Titans (6)","","","","15","","","21","","7","17.7"
"20","252","Cincinnati Bengals (10)","","","18","19","","","24","","19","19.8"
"21","","Las Vegas Raiders (6)","","","","9","","","","","28","15.5"
"22","321","Chicago Bears (14)","","","","10","","","23","","26","18.7"
"23","246","Minnesota Vikings (7)","","","20","22","","","19","","20","20.5"
"24","290","Arizona Cardinals (13)","","","","","","","20","","25","19.5"
"25","310","Carolina Panthers (13)","","","","","","","22","","24","23.0"
""
""
