"WR","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","6","Cooper Kupp","LAR","7 ","","","2","","1","1.5"
"2","8","Justin Jefferson","MIN","7","","","1","","2","1.5"
"3","10","Ja'Marr Chase","CIN","10","","","3","","4","3.5"
"4","13","Davante Adams","LV","6","","","5","","3","4.0"
"5","15","Stefon Diggs","BUF","7","","","4","","5","4.5"
"6","20","CeeDee Lamb","DAL","9","","","7","","6","6.5"
"7","22","Deebo Samuel","SF","9","","","6","","8","7.0"
"8","23","Tyreek Hill","MIA","11","","","8","","7","7.5"
"9","26","Mike Evans","TB","11","","","9","","9","9.0"
"10","29","A.J. Brown","PHI","7","","","11","","10","10.5"
"11","33","Michael Pittman Jr.","IND","14","","","10","","13","11.5"
"12","32","Keenan Allen","LAC","8","","","12","","11","11.5"
"13","35","Tee Higgins","CIN","10","","","13","","12","12.5"
"14","39","DJ Moore","CAR","13","","","14","","15","14.5"
"15","45","Terry McLaurin","WAS","14","","","18","","14","16.0"
"16","42","Courtland Sutton","DEN","9","","","15","","17","16.0"
"17","43","Mike Williams","LAC","8","","","16","","16","16.0"
"18","46","Diontae Johnson","PIT","9","","","17","","19","18.0"
"19","52","Jaylen Waddle","MIA","11","","","21","","20","20.5"
"20","54","DK Metcalf","SEA","11","","","24","","18","21.0"
"21","57","Allen Robinson II","LAR","7 ","","","25","","22","23.5"
"22","59","Amon-Ra St. Brown","DET","6","","","19","","29","24.0"
"23","62","Brandin Cooks","HOU","6","","","23","","26","24.5"
"24","63","Marquise Brown","ARI","13","","","26","","23","24.5"
"25","64","Gabe Davis","BUF","7","","","20","","31","25.5"
"26","65","Chris Godwin","TB","11","","","27","","24","25.5"
"27","67","Jerry Jeudy","DEN","9","","","32","","21","26.5"
"28","68","Darnell Mooney","CHI","14 ","","","22","","32","27.0"
"29","69","Michael Thomas","N","14 O","","","29","","27","28.0"
"30","73","Amari Cooper","CLE","9","","","33","","25","29.0"
"31","70","Adam Thielen","MIN","7","","","28","","30","29.0"
"32","72","JuJu Smith-Schuster","KC","8","","","30","","28","29.0"
"33","82","Rashod Bateman","BAL","10 ","","","31","","33","32.0"
"34","87","DeAndre Hopkins","ARI","13","","","34","","34","34.0"
"35","91","DeVonta Smith","PHI","7","","","38","","35","36.5"
"36","90","Allen Lazard","GB","14","","","37","","36","36.5"
"37","92","Elijah Moore","NYJ","10","","","35","","39","37.0"
"38","93","Hunter Renfrow","LV","6","","","40","","37","38.5"
"39","96","Brandon Aiyuk","SF","9","","","39","","40","39.5"
"40","98","Christian Kirk","JAC","11","","","36","","44","40.0"
"41","97","Drake London","ATL","14","","","42","","38","40.0"
"42","105","Chris Olave","NO","14","","","43","","41","42.0"
"43","103","Robert Woods","TEN","6","","","41","","45","43.0"
"44","110","Treylon Burks","TEN","6","","","46","","42","44.0"
"45","108","Tyler Lockett","SEA","11","","","45","","43","44.0"
"46","112","George Pickens","PIT","9","","","44","","47","45.5"
"47","115","Chase Claypool","CHI","14","","","48","","46","47.0"
"48","119","Kadarius Toney","KC","8","","","47","","51","49.0"
"49","121","Skyy Moore","KC","8","","","50","","48","49.0"
"50","124","Michael Gallup","DAL","9","","","49","","53","51.0"
"51","133","Tyler Boyd","CIN","10","","","51","","54","52.5"
"52","128","Julio Jones","TB","11","","","54","","52","53.0"
"53","134","Garrett Wilson","NYJ","10","","","58","","50","54.0"
"54","139","Marquez Valdes-Scantling","KC","8","","","61","","49","55.0"
"55","143","Jarvis Landry","N","14 O","","","55","","55","55.0"
"56","147","DJ Chark Jr.","DET","6","","","52","","59","55.5"
"57","151","Romeo Doubs","GB","14","","","59","","56","57.5"
"58","154","Jahan Dotson","WAS","14","","","57","","58","57.5"
"59","161","Russell Gage","TB","11","","","56","","62","59.0"
"60","162","DeVante Parker","NE","10","","","63","","57","60.0"
"61","164","Jakobi Meyers","NE","10","","","53","","68","60.5"
"62","166","Isaiah McKenzie","BUF","7","","","60","","63","61.5"
"63","167","Rondale Moore","ARI","13 ","","","62","","61","61.5"
"64","170","Mecole Hardman","KC","8","","","64","","64","64.0"
"65","174","Christian Watson","GB","14","","","70","","60","65.0"
"66","185","Joshua Palmer","LAC","8","","","67","","71","69.0"
"67","196","Wan'Dale Robinson","NYG","9 ","","","68","","70","69.0"
"68","182","Nico Collins","HU","6 O","","","65","","74","69.5"
"69","192","Jameson Williams","DET","6","","","73","","66","69.5"
"70","191","Alec Pierce","IND","14","","","66","","75","70.5"
"71","194","Jalen Tolbert","DAL","9","","","72","","69","70.5"
"72","198","Odell Beckham Jr.","","","","","71","","72","71.5"
"73","211","Sammy Watkins","BAL","10","","","80","","65","72.5"
"74","212","Kenny Golladay","NYG","9","","","78","","67","72.5"
"75","217","Parris Campbell","IND","14","","","69","","81","75.0"
"76","210","K.J. Osborn","MIN","7","","","74","","76","75.0"
"77","226","KJ Hamler","DEN","9 ","","","79","","73","76.0"
"78","233","Marvin Jones Jr.","JAC","11","","","76","","78","77.0"
"79","229","Robbie Anderson","ARI","13","","","75","","82","78.5"
"80","244","David Bell","CLE","9","","","82","","80","81.0"
"81","251","Donovan Peoples-Jones","CLE","9","","","83","","83","83.0"
