,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Jordy Nelson,GNB,29,19,65.52%,127,11,28.4%,15,11,73.33%,45,9,30.6%,All Jordy Nelson red zone receiving plays,NelsJo00
Kyle Rudolph,MIN,24,14,58.33%,99,5,32.4%,12,6,50.00%,24,4,37.5%,All Kyle Rudolph red zone receiving plays,RudoKy00
Anquan Boldin,DET,22,14,63.64%,107,6,26.2%,11,7,63.64%,20,4,29.7%,All Anquan Boldin red zone receiving plays,BoldAn00
Odell Beckham,NYG,21,9,42.86%,54,5,35.0%,10,5,50.00%,27,5,38.5%,All Odell Beckham red zone receiving plays,BeckOd00
Michael Crabtree,OAK,21,12,57.14%,96,6,23.3%,8,4,50.00%,12,4,17.8%,All Michael Crabtree red zone receiving plays,CrabMi00
Brandon Marshall,NYJ,21,7,33.33%,43,3,30.0%,8,3,37.50%,-1,1,27.6%,All Brandon Marshall red zone receiving plays,MarsBr00
Davante Adams,GNB,20,12,60.00%,60,7,19.6%,10,7,70.00%,24,5,20.4%,All Davante Adams red zone receiving plays,AdamDa01
Larry Fitzgerald,ARI,20,13,65.00%,95,4,25.6%,12,5,41.67%,18,4,30.8%,All Larry Fitzgerald red zone receiving plays,FitzLa00
Seth Roberts,OAK,20,8,40.00%,53,4,22.2%,9,5,55.56%,25,3,20.0%,All Seth Roberts red zone receiving plays,RobeSe00
Allen Robinson,JAX,19,9,47.37%,52,6,28.4%,11,5,45.45%,15,4,42.3%,All Allen Robinson red zone receiving plays,RobiAl02
Michael Thomas,NOR,19,13,68.42%,95,7,18.4%,11,7,63.64%,34,6,18.3%,All Michael Thomas red zone receiving plays,ThomMi05
Antonio Gates,SDG,18,8,44.44%,57,7,20.7%,7,5,71.43%,16,5,20.0%,All Antonio Gates red zone receiving plays,GateAn00
Emmanuel Sanders,DEN,18,8,44.44%,46,3,28.6%,11,6,54.55%,30,3,30.6%,All Emmanuel Sanders red zone receiving plays,SandEm00
Demaryius Thomas,DEN,18,12,66.67%,86,4,28.6%,11,5,45.45%,18,3,30.6%,All Demaryius Thomas red zone receiving plays,ThomDe03
Mike Evans,TAM,17,8,47.06%,65,7,25.4%,9,6,66.67%,32,6,33.3%,All Mike Evans red zone receiving plays,EvanMi00
Devonta Freeman,ATL,17,12,70.59%,74,2,18.3%,7,4,57.14%,14,1,14.0%,All Devonta Freeman red zone receiving plays,FreeDe00
Jimmy Graham,SEA,17,6,35.29%,78,4,24.3%,3,1,33.33%,1,1,9.7%,All Jimmy Graham red zone receiving plays,GrahJi00
Brandon LaFell,CIN,17,7,41.18%,39,4,27.0%,10,6,60.00%,30,4,33.3%,All Brandon LaFell red zone receiving plays,LaFeBr00
Golden Tate,DET,17,9,52.94%,42,1,20.2%,5,3,60.00%,14,1,13.5%,All Golden Tate red zone receiving plays,TateGo00
Cameron Brate,TAM,16,10,62.50%,66,8,23.9%,9,7,77.78%,34,6,33.3%,All Cameron Brate red zone receiving plays,BratCa00
Jamison Crowder,WAS,16,9,56.25%,65,3,21.6%,7,2,28.57%,10,1,18.9%,All Jamison Crowder red zone receiving plays,CrowJa00
Coby Fleener,NOR,16,9,56.25%,57,1,15.5%,7,4,57.14%,16,1,11.7%,All Coby Fleener red zone receiving plays,FleeCo00
Hunter Henry,SDG,16,10,62.50%,90,7,18.4%,8,6,75.00%,36,5,22.9%,All Hunter Henry red zone receiving plays,HenrHu00
Travis Kelce,KAN,16,8,50.00%,56,3,20.8%,7,3,42.86%,6,1,21.2%,All Travis Kelce red zone receiving plays,KelcTr00
DeMarco Murray,TEN,16,12,75.00%,58,3,24.2%,7,5,71.43%,16,3,23.3%,All DeMarco Murray red zone receiving plays,MurrDe00
Greg Olsen,CAR,16,9,56.25%,69,2,24.2%,5,2,40.00%,7,1,23.8%,All Greg Olsen red zone receiving plays,OlseGr00
Delanie Walker,TEN,16,8,50.00%,64,5,24.2%,7,4,57.14%,29,4,23.3%,All Delanie Walker red zone receiving plays,WalkHu00
Tyrell Williams,SDG,16,9,56.25%,45,2,18.4%,10,6,60.00%,18,2,28.6%,All Tyrell Williams red zone receiving plays,WillTy00
Jason Witten,DAL,16,10,62.50%,84,2,30.2%,4,2,50.00%,15,2,13.3%,All Jason Witten red zone receiving plays,WittJa00
Doug Baldwin,SEA,15,11,73.33%,83,6,21.4%,7,4,57.14%,10,3,22.6%,All Doug Baldwin red zone receiving plays,BaldDo00
Kelvin Benjamin,CAR,15,8,53.33%,84,5,22.7%,6,4,66.67%,30,4,28.6%,All Kelvin Benjamin red zone receiving plays,BenjKe00
Antonio Brown,PIT,15,9,60.00%,64,4,23.4%,7,3,42.86%,13,3,24.1%,All Antonio Brown red zone receiving plays,BrowAn04
Julian Edelman,NWE,15,6,40.00%,37,2,20.8%,9,2,22.22%,4,1,23.7%,All Julian Edelman red zone receiving plays,EdelJu00
Quincy Enunwa,NYJ,15,6,40.00%,22,1,21.4%,10,4,40.00%,15,1,34.5%,All Quincy Enunwa red zone receiving plays,EnunQu00
Marvin Jones,DET,15,6,40.00%,41,2,17.9%,8,3,37.50%,9,2,21.6%,All Marvin Jones red zone receiving plays,JoneMa02
Rishard Matthews,TEN,15,12,80.00%,89,7,22.7%,7,6,85.71%,23,5,23.3%,All Rishard Matthews red zone receiving plays,MattRi00
Nelson Agholor,PHI,14,5,35.71%,34,0,16.3%,3,1,33.33%,4,0,12.0%,All Nelson Agholor red zone receiving plays,AghoNe00
Zach Ertz,PHI,14,6,42.86%,39,3,16.3%,6,2,33.33%,10,2,24.0%,All Zach Ertz red zone receiving plays,ErtzZa00
Jermaine Kearse,SEA,14,1,7.14%,2,1,20.0%,10,1,10.00%,2,1,32.3%,All Jermaine Kearse red zone receiving plays,KearJe01
Theo Riddick,DET,14,11,78.57%,57,5,16.7%,6,4,66.67%,8,3,16.2%,All Theo Riddick red zone receiving plays,RiddTh00
Charles Clay,BUF,13,7,53.85%,70,3,26.5%,4,1,25.00%,7,1,20.0%,All Charles Clay red zone receiving plays,ClayCh00
Randall Cobb,GNB,13,9,69.23%,47,4,12.7%,7,6,85.71%,26,4,14.3%,All Randall Cobb red zone receiving plays,CobbRa00
Chris Conley,KAN,13,3,23.08%,25,0,16.9%,4,1,25.00%,5,0,12.1%,All Chris Conley red zone receiving plays,ConlCh00
Amari Cooper,OAK,13,5,38.46%,42,0,14.4%,7,0,0.00%,0,0,15.6%,All Amari Cooper red zone receiving plays,CoopAm00
Michael Floyd,2TM,13,7,53.85%,56,5,,7,4,57.14%,21,4,,All Michael Floyd red zone receiving plays,FloyMi00
Devin Funchess,CAR,13,3,23.08%,39,3,19.7%,3,1,33.33%,6,1,14.3%,All Devin Funchess red zone receiving plays,FuncDe00
Pierre Garcon,WAS,13,5,38.46%,50,1,17.6%,7,2,28.57%,9,0,18.9%,All Pierre Garcon red zone receiving plays,GarcPi00
Tyreek Hill,KAN,13,10,76.92%,52,3,16.9%,7,4,57.14%,24,3,21.2%,All Tyreek Hill red zone receiving plays,HillTy00
T.Y. Hilton,IND,13,8,61.54%,38,2,19.1%,8,6,75.00%,28,2,20.0%,All T.Y. Hilton red zone receiving plays,HiltT.00
David Johnson,ARI,13,8,61.54%,52,3,16.7%,5,3,60.00%,10,3,12.8%,All David Johnson red zone receiving plays,JohnDa08
Dennis Pitta,BAL,13,7,53.85%,42,2,18.1%,5,2,40.00%,14,1,17.9%,All Dennis Pitta red zone receiving plays,PittDe00
Terrelle Pryor,CLE,13,9,69.23%,58,4,23.6%,4,3,75.00%,21,3,20.0%,All Terrelle Pryor red zone receiving plays,PryoTe00
Mohamed Sanu,ATL,13,9,69.23%,68,4,14.0%,9,5,55.56%,29,3,18.0%,All Mohamed Sanu red zone receiving plays,SanuMo00
Darren Sproles,PHI,13,6,46.15%,33,1,15.1%,2,1,50.00%,4,1,8.0%,All Darren Sproles red zone receiving plays,SproDa00
Dez Bryant,DAL,12,6,50.00%,74,5,22.6%,7,2,28.57%,12,2,23.3%,All Dez Bryant red zone receiving plays,BryaDe01
Stefon Diggs,MIN,12,11,91.67%,54,1,16.2%,3,2,66.67%,4,1,9.4%,All Stefon Diggs red zone receiving plays,DiggSt00
Jack Doyle,IND,12,9,75.00%,57,4,17.6%,6,4,66.67%,17,3,15.0%,All Jack Doyle red zone receiving plays,DoylJa00
C.J. Fiedorowicz,HOU,12,6,50.00%,40,3,17.9%,7,4,57.14%,22,2,20.0%,All C.J. Fiedorowicz red zone receiving plays,FiedC.00
Dorial Green-Beckham,PHI,12,6,50.00%,40,2,14.0%,2,2,100.00%,10,2,8.0%,All Dorial Green-Beckham red zone receiving plays,GreeDo00
Allen Hurns,JAX,12,5,41.67%,29,2,17.9%,3,2,66.67%,10,1,11.5%,All Allen Hurns red zone receiving plays,HurnAl01
Jesse James,PIT,12,7,58.33%,46,3,18.8%,8,5,62.50%,27,3,27.6%,All Jesse James red zone receiving plays,JameJe00
Alshon Jeffery,CHI,12,4,33.33%,35,2,16.7%,5,1,20.00%,8,1,14.7%,All Alshon Jeffery red zone receiving plays,JeffAl00
Jordan Matthews,PHI,12,5,41.67%,55,3,14.0%,4,1,25.00%,5,1,16.0%,All Jordan Matthews red zone receiving plays,MattJo00
Cameron Meredith,CHI,12,6,50.00%,60,1,16.7%,4,0,0.00%,0,0,11.8%,All Cameron Meredith red zone receiving plays,MereCa00
Malcolm Mitchell,NWE,12,9,75.00%,43,3,16.7%,4,4,100.00%,19,3,10.5%,All Malcolm Mitchell red zone receiving plays,MitcMa01
Jordan Reed,WAS,12,8,66.67%,59,5,16.2%,8,5,62.50%,31,5,21.6%,All Jordan Reed red zone receiving plays,ReedJo02
Sterling Shepard,NYG,12,9,75.00%,78,6,20.0%,6,5,83.33%,23,4,23.1%,All Sterling Shepard red zone receiving plays,ShepSt00
Steve Smith,BAL,12,7,58.33%,55,3,16.7%,3,1,33.33%,5,1,10.7%,All Steve Smith red zone receiving plays,SmitSt01
Willie Snead,NOR,12,8,66.67%,51,4,11.7%,8,5,62.50%,20,3,13.3%,All Willie Snead red zone receiving plays,SneaWi00
Kenny Britt,LAR,11,6,54.55%,37,4,21.6%,9,5,55.56%,32,4,39.1%,All Kenny Britt red zone receiving plays,BritKe00
Tevin Coleman,ATL,11,8,72.73%,29,2,11.8%,4,4,100.00%,16,2,8.0%,All Tevin Coleman red zone receiving plays,ColeTe01
Brandin Cooks,NOR,11,10,90.91%,57,3,10.7%,6,5,83.33%,26,2,10.0%,All Brandin Cooks red zone receiving plays,CookBr00
Andrew Hawkins,CLE,11,5,45.45%,4,3,20.0%,5,3,60.00%,-8,2,25.0%,All Andrew Hawkins red zone receiving plays,HawkAn00
DeSean Jackson,WAS,11,4,36.36%,28,1,14.9%,5,0,0.00%,0,0,13.5%,All DeSean Jackson red zone receiving plays,JackDe00
Bilal Powell,NYJ,11,9,81.82%,38,1,15.7%,3,2,66.67%,2,1,10.3%,All Bilal Powell red zone receiving plays,PoweBi00
Jacob Tamme,ATL,11,7,63.64%,53,3,11.8%,6,4,66.67%,7,1,12.0%,All Jacob Tamme red zone receiving plays,TammJa00
Martellus Bennett,NWE,10,8,80.00%,68,5,13.9%,6,4,66.67%,19,4,15.8%,All Martellus Bennett red zone receiving plays,BennMa00
Travaris Cadet,NOR,10,6,60.00%,36,4,9.7%,8,4,50.00%,18,3,13.3%,All Travaris Cadet red zone receiving plays,CadeTr00
Justin Hardy,ATL,10,5,50.00%,22,4,10.8%,9,4,44.44%,22,4,18.0%,All Justin Hardy red zone receiving plays,HardJu00
Chris Hogan,NWE,10,7,70.00%,40,1,13.9%,6,3,50.00%,8,0,15.8%,All Chris Hogan red zone receiving plays,HogaCh00
Adam Humphries,TAM,10,5,50.00%,35,1,14.9%,2,1,50.00%,7,1,7.4%,All Adam Humphries red zone receiving plays,HumpAd00
Mark Ingram,NOR,10,10,100.00%,30,3,9.7%,5,5,100.00%,16,3,8.3%,All Mark Ingram red zone receiving plays,IngrMa01
Donte Moncrief,IND,10,8,80.00%,32,6,14.7%,6,6,100.00%,23,6,15.0%,All Donte Moncrief red zone receiving plays,MoncDo00
Ty Montgomery,GNB,10,5,50.00%,34,0,9.8%,4,1,25.00%,0,0,8.2%,All Ty Montgomery red zone receiving plays,MontTy01
JJ Nelson,ARI,10,7,70.00%,53,4,12.8%,4,4,100.00%,27,4,10.3%,All JJ Nelson red zone receiving plays,NelsJJ00
Adam Thielen,MIN,10,8,80.00%,51,3,13.5%,5,3,60.00%,18,2,15.6%,All Adam Thielen red zone receiving plays,ThieAd00
Dwayne Allen,IND,9,6,66.67%,57,4,13.2%,5,3,60.00%,11,2,12.5%,All Dwayne Allen red zone receiving plays,AlleDw00
Tavon Austin,LAR,9,4,44.44%,17,1,17.6%,3,2,66.67%,8,1,13.0%,All Tavon Austin red zone receiving plays,AustTa00
Tyler Boyd,CIN,9,5,55.56%,46,1,14.3%,2,1,50.00%,1,1,6.7%,All Tyler Boyd red zone receiving plays,BoydTy00
Brandon Coleman,NOR,9,8,88.89%,60,2,8.7%,6,6,100.00%,40,2,10.0%,All Brandon Coleman red zone receiving plays,ColeBr00
Jared Cook,GNB,9,5,55.56%,31,1,8.8%,2,1,50.00%,6,1,4.1%,All Jared Cook red zone receiving plays,CookJa02
Tyler Eifert,CIN,9,5,55.56%,50,5,14.3%,6,2,33.33%,8,2,20.0%,All Tyler Eifert red zone receiving plays,EifeTy00
Will Fuller,HOU,9,4,44.44%,44,2,13.4%,5,1,20.00%,5,1,14.3%,All Will Fuller red zone receiving plays,FullWi01
A.J. Green,CIN,9,7,77.78%,56,2,14.3%,4,2,50.00%,7,1,13.3%,All A.J. Green red zone receiving plays,GreeA.00
Todd Gurley,LAR,9,6,66.67%,46,0,17.6%,0,0,,0,0,.0%,All Todd Gurley red zone receiving plays,GurlTo01
DeAndre Hopkins,HOU,9,3,33.33%,22,1,13.4%,6,1,16.67%,1,1,17.1%,All DeAndre Hopkins red zone receiving plays,HopkDe00
Julio Jones,ATL,9,4,44.44%,22,2,9.7%,6,3,50.00%,11,2,12.0%,All Julio Jones red zone receiving plays,JoneJu02
Jarvis Landry,MIA,9,7,77.78%,48,2,18.0%,4,4,100.00%,34,2,18.2%,All Jarvis Landry red zone receiving plays,LandJa00
Jeremy Maclin,KAN,9,4,44.44%,38,2,11.7%,1,0,0.00%,0,0,3.0%,All Jeremy Maclin red zone receiving plays,MaclJe00
Braxton Miller,HOU,9,3,33.33%,15,1,13.4%,4,1,25.00%,0,0,11.4%,All Braxton Miller red zone receiving plays,MillBr03
Clive Walford,OAK,9,2,22.22%,17,2,10.0%,6,1,16.67%,5,1,13.3%,All Clive Walford red zone receiving plays,WalfCl00
Mike Wallace,BAL,9,5,55.56%,39,2,12.5%,4,2,50.00%,13,1,14.3%,All Mike Wallace red zone receiving plays,WallMi00
Terrance West,BAL,9,6,66.67%,13,1,12.5%,3,1,33.33%,3,1,10.7%,All Terrance West red zone receiving plays,WestTe00
Cole Beasley,DAL,8,6,75.00%,35,5,15.1%,5,4,80.00%,14,4,16.7%,All Cole Beasley red zone receiving plays,BeasCo00
Le'Veon Bell,PIT,8,5,62.50%,28,2,12.5%,4,2,50.00%,9,2,13.8%,All Le'Veon Bell red zone receiving plays,BellLe00
Melvin Gordon,SDG,8,5,62.50%,45,2,9.2%,2,1,50.00%,5,1,5.7%,All Melvin Gordon red zone receiving plays,GordMe00
Andre Holmes,OAK,8,4,50.00%,18,3,8.9%,6,3,50.00%,10,3,13.3%,All Andre Holmes red zone receiving plays,HolmAn00
Marqise Lee,JAX,8,5,62.50%,19,1,11.9%,2,2,100.00%,6,1,7.7%,All Marqise Lee red zone receiving plays,LeexMa00
Zach Miller,CHI,8,6,75.00%,44,4,11.1%,5,4,80.00%,14,3,14.7%,All Zach Miller red zone receiving plays,MillZa02
DeVante Parker,MIA,8,5,62.50%,40,2,16.0%,5,2,40.00%,17,2,22.7%,All DeVante Parker red zone receiving plays,ParkDe01
Cordarrelle Patterson,MIN,8,4,50.00%,43,2,10.8%,3,1,33.33%,9,1,9.4%,All Cordarrelle Patterson red zone receiving plays,PattCo00
Brian Quick,LAR,8,3,37.50%,15,1,15.7%,4,2,50.00%,5,1,17.4%,All Brian Quick red zone receiving plays,QuicBr00
Robert Woods,BUF,8,5,62.50%,39,1,16.3%,2,1,50.00%,5,1,10.0%,All Robert Woods red zone receiving plays,WoodRo02
T.J. Yeldon,JAX,8,6,75.00%,29,1,11.9%,2,1,50.00%,0,0,7.7%,All T.J. Yeldon red zone receiving plays,YeldT.00
Danny Amendola,NWE,7,7,100.00%,45,4,9.7%,3,3,100.00%,24,3,7.9%,All Danny Amendola red zone receiving plays,AmenDa00
Travis Benjamin,SDG,7,4,57.14%,33,2,8.0%,1,1,100.00%,6,1,2.9%,All Travis Benjamin red zone receiving plays,BenjTr00
Corey Brown,CAR,7,2,28.57%,16,1,10.6%,3,0,0.00%,0,0,14.3%,All Corey Brown red zone receiving plays,BrowPh00
Trey Burton,PHI,7,4,57.14%,15,1,8.1%,3,2,66.67%,2,1,12.0%,All Trey Burton red zone receiving plays,BurtTr01
Phillip Dorsett,IND,7,4,57.14%,25,0,10.3%,4,2,50.00%,14,0,10.0%,All Phillip Dorsett red zone receiving plays,DorsPh00
