,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Minnesota Vikings,16,190,58,30.5%,19,9,47.4%,49,22,44.9%
2,Seattle Seahawks,16,183,64,35.0%,13,6,46.2%,51,25,49.0%
3,Detroit Lions,16,186,69,37.1%,17,9,52.9%,47,27,57.4%
4,Los Angeles Rams,16,188,70,37.2%,15,9,60.0%,52,30,57.7%
5,Philadelphia Eagles,16,201,71,35.3%,19,11,57.9%,56,25,44.6%
6,Baltimore Ravens,16,211,72,34.1%,20,10,50.0%,41,26,63.4%
7,Pittsburgh Steelers,16,197,72,36.5%,13,7,53.8%,49,29,59.2%
8,New York Jets,16,213,72,33.8%,14,9,64.3%,59,31,52.5%
9,Tampa Bay Buccaneers,16,181,73,40.3%,14,7,50.0%,58,45,77.6%
10,Carolina Panthers,16,183,73,39.9%,17,10,58.8%,47,33,70.2%
11,Buffalo Bills,16,203,74,36.5%,11,6,54.5%,48,34,70.8%
12,Chicago Bears,16,219,75,34.2%,28,16,57.1%,40,20,50.0%
13,Tennessee Titans,16,205,75,36.6%,20,11,55.0%,47,21,44.7%
14,Cleveland Browns,16,210,75,35.7%,20,13,65.0%,54,33,61.1%
15,New England Patriots,16,197,76,38.6%,16,6,37.5%,46,27,58.7%
16,New Orleans Saints,16,189,78,41.3%,29,14,48.3%,49,31,63.3%
17,Arizona Cardinals,16,205,78,38.0%,13,8,61.5%,53,33,62.3%
18,Green Bay Packers,16,212,79,37.3%,18,12,66.7%,56,34,60.7%
19,Los Angeles Chargers,16,202,79,39.1%,20,11,55.0%,50,25,50.0%
20,Jacksonville Jaguars,16,212,80,37.7%,12,3,25.0%,47,24,51.1%
21,Kansas City Chiefs,16,193,80,41.5%,27,18,66.7%,58,42,72.4%
22,Denver Broncos,16,211,82,38.9%,11,6,54.5%,43,25,58.1%
23,Indianapolis Colts,16,200,82,41.0%,15,7,46.7%,43,23,53.5%
24,Miami Dolphins,16,196,84,42.9%,15,6,40.0%,61,37,60.7%
25,Dallas Cowboys,16,201,85,42.3%,14,6,42.9%,49,25,51.0%
26,Washington Redskins,16,196,86,43.9%,13,5,38.5%,52,27,51.9%
27,New York Giants,16,206,87,42.2%,17,14,82.4%,58,33,56.9%
28,San Francisco 49ers,16,216,87,40.3%,17,10,58.8%,58,38,65.5%
29,Houston Texans,16,227,91,40.1%,20,12,60.0%,41,29,70.7%
30,Oakland Raiders,16,201,93,46.3%,12,8,66.7%,62,37,59.7%
31,Atlanta Falcons,16,195,95,48.7%,13,10,76.9%,54,38,70.4%
32,Cincinnati Bengals,16,223,109,48.9%,17,11,64.7%,61,39,63.9%
,League Total,,,,,,,,,,
