Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,New England Patriots,16,7,13,,,3,2,,25,,0,,24,25,17,19,,225,14.1
2,Buffalo Bills,16,12,15,,1,,1,1,29,4,5,,21,25,16,26,1,259,16.2
3,Baltimore Ravens,16,12,15,,1,,,1,28,3,5,,21,24,27,31,,282,17.6
4,Chicago Bears,16,16,17,,,,,,33,1,4,,27,29,23,30,1,298,18.6
5,Minnesota Vikings,16,8,23,,,,,,31,1,4,,26,27,29,33,1,303,18.9
6,Pittsburgh Steelers,16,7,23,,,2,,,32,,1,,30,31,25,31,3,303,18.9
7,Kansas City Chiefs,16,14,21,,,1,,,36,3,9,,23,27,21,26,,308,19.3
8,San Francisco 49ers,16,11,23,,,2,1,,37,3,6,,29,30,17,20,1,310,19.4
9,Green Bay Packers,16,15,19,,,,,,34,,3,,28,31,27,32,,313,19.6
10,Denver Broncos,16,9,19,2,,1,,,31,1,4,,26,27,34,39,,316,19.8
11,Dallas Cowboys,16,14,21,,,,,,35,2,4,,29,31,26,32,,321,20.1
12,Tennessee Titans,16,14,25,,,,,,39,2,4,,30,35,21,27,,331,20.7
13,New Orleans Saints,16,12,27,,1,,,,40,1,3,,33,36,22,24,,341,21.3
14,Los Angeles Chargers,16,15,21,,1,2,1,,40,2,2,,32,38,23,33,,345,21.6
15,Philadelphia Eagles,16,13,27,,1,,,,41,2,4,,35,37,23,27,,354,22.1
16,New York Jets,16,12,25,,,1,1,,39,3,6,,29,33,28,34,3,359,22.4
17,Los Angeles Rams,16,15,23,,,2,2,,42,,1,,40,41,24,30,,364,22.8
18,Indianapolis Colts,16,8,29,,,1,2,1,40,1,2,,38,38,29,31,,373,23.3
19,Houston Texans,16,12,33,,,1,,,46,1,3,,42,43,21,26,1,385,24.1
20,Cleveland Browns,16,19,25,,,1,1,,46,1,2,,42,44,23,32,2,393,24.6
21,Jacksonville Jaguars,16,23,22,,,2,,,47,2,2,,43,45,22,27,,397,24.8
22,Seattle Seahawks,16,22,19,1,,3,2,,47,3,9,,35,38,25,35,,398,24.9
23,Atlanta Falcons,16,13,28,,,3,1,,45,2,4,,35,41,30,34,,399,24.9
24,Oakland Raiders,16,15,33,,,1,2,,51,,0,,51,51,20,26,,419,26.2
25,Cincinnati Bengals,16,17,25,,,1,4,,47,2,2,,44,45,30,34,,420,26.3
26,Detroit Lions,16,13,33,,1,1,1,,49,2,3,,44,46,27,34,,423,26.4
27,Washington Redskins,16,14,35,,,1,2,,52,1,2,,46,48,25,30,,435,27.2
28,Arizona Cardinals,16,9,38,1,,1,2,1,51,,1,,49,50,27,32,,442,27.6
29,Tampa Bay Buccaneers,16,11,30,,,,7,,48,5,7,,38,39,37,43,1,449,28.1
30,New York Giants,16,19,30,,,4,,1,53,,0,,50,53,25,32,1,451,28.2
31,Carolina Panthers,16,31,21,3,,,1,,56,2,6,,49,50,27,35,,470,29.4
32,Miami Dolphins,16,15,39,,1,,2,,57,4,5,,47,52,31,38,2,494,30.9
,Avg Team,,14.0,24.9,0.2,0.2,1.1,1.1,0.2,41.6,1.7,3.5,0.1,35.5,37.8,25.1,30.7,0.5,365.0,22.8
,League Total,,447,797,7,7,34,35,5,1332,54,113,2,1136,1210,802,983,17,11680,22.8
,Avg Tm/G,,0.87,1.56,0.01,0.01,0.07,0.07,0.01,2.60,0.11,0.22,0.00,2.22,2.36,1.57,1.92,0.03,22.8,
