,Unnamed: 0,DST,Overall,Player,AVG
0,0,1.0,64.0,Seattle Seahawks (9),1.0
1,1,2.0,77.0,Buffalo Bills (8),2.4
2,2,3.0,80.0,Houston Texans (9),2.6
3,3,4.0,94.0,Los Angeles Rams (),5.2
4,4,5.0,113.0,Philadelphia Eagles (8),7.4
5,5,6.0,111.0,Arizona Cardinals (9),8.0
6,6,7.0,140.0,Miami Dolphins (5),9.0
7,7,8.0,123.0,Green Bay Packers (7),9.6
8,8,9.0,135.0,New England Patriots (4),9.8
9,9,10.0,132.0,Baltimore Ravens (9),10.0
10,10,11.0,144.0,Denver Broncos (7),10.6
11,11,12.0,162.0,Kansas City Chiefs (9),12.2
12,12,13.0,152.0,New York Jets (5),9.3
13,13,14.0,169.0,Carolina Panthers (5),13.4
14,14,15.0,189.0,Minnesota Vikings (5),17.6
15,15,16.0,198.0,Cincinnati Bengals (7),14.3
16,16,17.0,182.0,Dallas Cowboys (6),15.7
17,17,18.0,206.0,Detroit Lions (9),18.0
18,18,19.0,200.0,Pittsburgh Steelers (11),16.7
19,19,20.0,210.0,San Francisco 49ers (10),17.0
20,20,21.0,211.0,New York Giants (11),18.7
21,21,22.0,220.0,Indianapolis Colts (10),19.0
22,22,23.0,221.0,Chicago Bears (7),17.0
23,23,24.0,292.0,Cleveland Browns (11),21.5
24,24,25.0,269.0,Los Angeles Chargers (),20.0
25,25,26.0,271.0,Atlanta Falcons (10),21.0
26,26,27.0,275.0,Washington Commanders (8),24.0
27,27,28.0,256.0,New Orleans Saints (11),25.0
28,28,,,,
29,29,,,,
