,RB,Overall,Player,AVG
0,1.0,1.0,Adrian Peterson,1.0
1,2.0,2.0,Le'Veon Bell,3.0
2,3.0,3.0,Eddie Lacy,3.0
3,4.0,4.0,Jamaal Charles,3.3
4,5.0,5.0,Marshawn Lynch,4.7
5,6.0,9.0,Matt Forte,7.2
6,7.0,10.0,C.J. Anderson,7.5
7,8.0,11.0,DeMarco Murray,7.7
8,9.0,15.0,Jeremy Hill,8.2
9,10.0,19.0,LeSean McCoy,9.5
10,11.0,23.0,Justin Forsett,11.5
11,12.0,26.0,Lamar Miller,13.0
12,13.0,28.0,Mark Ingram II,13.2
13,14.0,31.0,Frank Gore,14.0
14,15.0,36.0,Alfred Morris,15.7
15,16.0,38.0,Melvin Gordon III,16.2
16,17.0,39.0,Latavius Murray,16.7
17,18.0,40.0,Carlos Hyde,17.3
18,19.0,46.0,Andre Ellington,20.3
19,20.0,48.0,Jonathan Stewart,21.0
20,21.0,52.0,Joseph Randle,21.8
21,22.0,55.0,Arian Foster,22.2
22,23.0,63.0,T.J. Yeldon,25.0
23,24.0,65.0,Todd Gurley II,26.3
24,25.0,68.0,Ameer Abdullah,26.5
25,26.0,67.0,Chris Ivory,26.8
26,27.0,71.0,Joique Bell,27.0
27,28.0,69.0,LeGarrette Blount,27.2
28,29.0,72.0,Doug Martin,27.3
29,30.0,70.0,Rashad Jennings,27.3
30,31.0,76.0,C.J. Spiller,30.0
31,32.0,78.0,Giovani Bernard,30.0
32,33.0,91.0,Isaiah Crowell,34.7
33,34.0,90.0,Tevin Coleman,34.7
34,35.0,99.0,Ryan Mathews,36.3
35,36.0,97.0,Alfred Blue,36.3
36,37.0,102.0,Tre Mason,37.5
37,38.0,108.0,Darren McFadden,38.2
38,39.0,109.0,Shane Vereen,39.8
39,40.0,110.0,Devonta Freeman,40.3
40,41.0,121.0,Bishop Sankey,43.5
41,42.0,126.0,Darren Sproles,43.8
42,43.0,129.0,DeAngelo Williams,45.0
43,44.0,134.0,Reggie Bush,45.2
44,45.0,148.0,Danny Woodhead,47.7
45,46.0,154.0,Andre Williams,49.8
46,47.0,161.0,Ronnie Hillman,50.3
47,48.0,136.0,Duke Johnson Jr.,45.4
48,49.0,143.0,Charles Sims,46.4
49,50.0,160.0,Knile Davis,48.8
50,51.0,155.0,David Johnson,49.4
51,52.0,170.0,David Cobb,52.8
52,53.0,183.0,Jonas Gray,48.5
53,54.0,188.0,Montee Ball,50.0
54,55.0,185.0,Matt Jones,56.8
55,56.0,197.0,Terrance West,53.3
56,57.0,194.0,Fred Jackson,58.2
57,58.0,201.0,Denard Robinson,60.0
58,59.0,214.0,Christine Michael,59.0
59,60.0,222.0,Roy Helu,59.5
60,61.0,225.0,James Starks,61.0
61,62.0,229.0,Jerick McKinnon,62.5
62,63.0,253.0,Branden Oliver,61.0
63,64.0,227.0,Khiry Robinson,65.3
64,65.0,232.0,Ahmad Bradshaw,67.5
65,66.0,230.0,Cameron Artis-Payne,56.0
66,67.0,239.0,Stevan Ridley,60.5
67,68.0,254.0,Lorenzo Taliaferro,66.0
68,69.0,252.0,Jay Ajayi,61.5
69,70.0,259.0,Theo Riddick,67.3
70,71.0,278.0,Chris Johnson,67.7
71,72.0,246.0,Bobby Rainey,69.0
72,73.0,250.0,Brandon Bolden,55.0
73,74.0,372.0,Jarryd Hayne,75.5
74,75.0,262.0,Dan Herron,69.0
75,76.0,282.0,Lance Dunbar,68.0
76,77.0,280.0,Trent Richardson,68.0
77,78.0,308.0,Robert Turbin,71.5
78,79.0,276.0,Ray Rice,68.5
79,80.0,379.0,Dion Lewis,80.0
80,81.0,318.0,De'Anthony Thomas,63.0
81,82.0,355.0,Matt Asiata,78.0
82,83.0,277.0,Chris Polk,65.0
83,84.0,287.0,Damien Williams,80.0
84,85.0,285.0,James White,69.0
85,86.0,290.0,Jeremy Langford,71.0
86,87.0,295.0,Javorius Allen,75.0
87,88.0,298.0,Fozzy Whittaker,76.0
88,89.0,300.0,Jacquizz Rodgers,78.0
89,90.0,302.0,Zac Stacy,81.0
90,91.0,307.0,Josh Robinson,82.0
91,92.0,310.0,Dri Archer,84.0
92,93.0,323.0,Benny Cunningham Jr.,85.0
93,94.0,342.0,Ka'Deem Carey,87.0
94,95.0,347.0,Toby Gerhart,88.0
95,96.0,349.0,Bilal Powell,89.0
96,97.0,350.0,Mike Tolbert,90.0
97,98.0,352.0,Dexter McCluster,91.0
98,99.0,365.0,Tyler Clutts,94.0
99,100.0,373.0,Travaris Cadet,96.0
100,101.0,377.0,Jonathan Grimes,97.0
101,102.0,378.0,Juwan Thompson,98.0
102,103.0,381.0,Zach Zenner,100.0
103,104.0,384.0,Bryce Brown,102.0
104,105.0,385.0,Ryan Williams,103.0
105,106.0,398.0,Kendall Hunter,104.0
106,107.0,401.0,Steven Jackson,105.0
107,108.0,412.0,Michael Dyer,106.0
108,109.0,415.0,Will Johnson,107.0
109,110.0,416.0,Antonio Andrews,108.0
110,111.0,417.0,Shonn Greene,109.0
111,,,,
112,,,,
