,Rank,Player,POS,ESPN,AVG
0,1.0,David Johnson,RB1,1.0,1.0
1,2.0,Le'Veon Bell,RB2,2.0,2.0
2,3.0,Antonio Brown,WR1,3.0,3.0
3,4.0,Julio Jones,WR2,4.0,4.0
4,5.0,Odell Beckham Jr.,WR3,5.0,5.2
5,6.0,LeSean McCoy,RB3,6.0,6.4
6,7.0,Mike Evans,WR4,9.0,7.0
7,8.0,A.J. Green,WR5,10.0,8.6
8,9.0,Devonta Freeman,RB4,8.0,9.4
9,10.0,Melvin Gordon III,RB5,11.0,9.6
10,11.0,Jordy Nelson,WR6,7.0,10.4
11,12.0,Michael Thomas,WR7,12.0,12.0
12,13.0,Jordan Howard,RB6,13.0,14.4
13,14.0,DeMarco Murray,RB7,14.0,14.4
14,15.0,Jay Ajayi,RB8,15.0,15.0
15,16.0,Ezekiel Elliott,RB9,21.0,15.4
16,17.0,Amari Cooper,WR8,19.0,18.0
17,18.0,Todd Gurley II,RB10,18.0,18.6
18,19.0,Brandin Cooks,WR9,16.0,19.8
19,20.0,Rob Gronkowski,TE1,17.0,19.8
20,21.0,Dez Bryant,WR10,24.0,20.2
21,22.0,Aaron Rodgers,QB1,20.0,22.8
22,23.0,Doug Baldwin,WR11,23.0,22.8
23,24.0,Leonard Fournette,RB11,26.0,24.8
24,25.0,T.Y. Hilton,WR12,25.0,26.2
25,26.0,Christian McCaffrey,RB12,30.0,27.2
26,27.0,DeAndre Hopkins,WR13,29.0,28.2
27,28.0,Demaryius Thomas,WR14,32.0,30.2
28,29.0,Lamar Miller,RB13,27.0,30.6
29,30.0,Tom Brady,QB2,22.0,30.8
30,31.0,Keenan Allen,WR15,40.0,32.6
31,32.0,Terrelle Pryor Sr.,WR16,31.0,33.4
32,33.0,Isaiah Crowell,RB14,36.0,33.8
33,34.0,Dalvin Cook,RB15,42.0,34.2
34,35.0,Marshawn Lynch,RB16,28.0,35.8
35,36.0,Travis Kelce,TE2,41.0,36.0
36,37.0,Alshon Jeffery,WR17,35.0,37.0
37,38.0,Kareem Hunt,RB17,33.0,38.2
38,39.0,Michael Crabtree,WR18,37.0,41.0
39,40.0,Carlos Hyde,RB18,38.0,41.4
40,41.0,Davante Adams,WR19,48.0,41.6
41,42.0,Ty Montgomery,RB19,45.0,42.0
42,43.0,Drew Brees,QB3,34.0,42.8
43,44.0,Joe Mixon,RB20,57.0,43.8
44,45.0,Golden Tate,WR20,47.0,46.4
45,46.0,Allen Robinson II,WR21,60.0,47.2
46,47.0,Larry Fitzgerald,WR22,44.0,47.8
47,48.0,Greg Olsen,TE3,43.0,48.0
48,49.0,Tyreek Hill,WR23,54.0,50.4
49,50.0,Jordan Reed,TE4,46.0,50.6
50,51.0,Kelvin Benjamin,WR24,49.0,51.2
51,52.0,Martavis Bryant,WR25,58.0,51.2
52,53.0,Jarvis Landry,WR26,52.0,52.8
53,54.0,Mark Ingram II,RB21,55.0,55.6
54,55.0,Matt Ryan,QB4,39.0,56.0
55,56.0,Stefon Diggs,WR27,67.0,56.8
56,57.0,Jimmy Graham,TE5,53.0,58.0
57,58.0,Bilal Powell,RB22,56.0,58.8
58,59.0,Sammy Watkins,WR28,63.0,59.0
59,60.0,Emmanuel Sanders,WR29,50.0,60.0
60,61.0,C.J. Anderson,RB23,69.0,60.8
61,62.0,DeVante Parker,WR30,71.0,61.4
62,63.0,Russell Wilson,QB5,51.0,63.8
63,64.0,Jamison Crowder,WR31,59.0,63.8
64,65.0,Ameer Abdullah,RB24,75.0,64.0
65,66.0,Brandon Marshall,WR32,68.0,67.0
66,67.0,Danny Woodhead,RB25,65.0,67.8
67,68.0,Pierre Garcon,WR33,70.0,70.0
68,69.0,Tevin Coleman,RB26,90.0,71.2
69,70.0,Kyle Rudolph,TE6,72.0,74.2
70,71.0,Adrian Peterson,RB27,62.0,75.4
71,72.0,Doug Martin,RB28,97.0,76.0
72,73.0,Mike Gillislee,RB29,77.0,77.8
73,74.0,Delanie Walker,TE7,66.0,78.4
74,75.0,Zach Ertz,TE8,82.0,78.4
75,76.0,Tyler Eifert,TE9,95.0,78.8
76,77.0,Frank Gore,RB30,64.0,80.8
77,78.0,Jameis Winston,QB6,89.0,81.4
78,79.0,Theo Riddick,RB31,81.0,82.8
79,80.0,Robert Kelley,RB32,78.0,83.6
80,81.0,Kirk Cousins,QB7,74.0,84.4
81,82.0,Paul Perkins,RB33,88.0,84.6
82,83.0,Jeremy Maclin,WR34,86.0,84.6
83,84.0,Willie Snead IV,WR35,119.0,84.8
84,85.0,Marcus Mariota,QB8,92.0,84.8
85,86.0,Derek Carr,QB9,76.0,85.2
86,87.0,Cam Newton,QB10,61.0,86.8
87,88.0,DeSean Jackson,WR36,80.0,87.2
88,89.0,Martellus Bennett,TE10,85.0,89.8
89,90.0,Derrick Henry,RB34,130.0,90.0
90,91.0,Eric Decker,WR37,87.0,90.4
91,92.0,Randall Cobb,WR38,94.0,90.6
92,93.0,Duke Johnson Jr.,RB35,104.0,92.8
93,94.0,Tyrell Williams,WR39,112.0,93.0
94,95.0,Terrance West,RB36,84.0,95.4
95,96.0,Andrew Luck,QB11,110.0,99.6
96,97.0,Adam Thielen,WR40,108.0,100.8
97,98.0,Eddie Lacy,RB37,91.0,101.6
98,99.0,LeGarrette Blount,RB38,106.0,102.6
99,100.0,Darren McFadden,RB39,93.0,103.0
100,101.0,Chris Hogan,WR41,99.0,103.6
101,102.0,Ben Roethlisberger,QB12,102.0,104.0
102,103.0,Hunter Henry,TE11,120.0,106.2
103,104.0,James White,RB40,118.0,107.8
104,105.0,Corey Coleman,WR42,132.0,109.0
105,106.0,Dak Prescott,QB13,73.0,109.8
106,107.0,Matthew Stafford,QB14,98.0,113.6
107,108.0,Thomas Rawls,RB41,124.0,114.2
108,109.0,Marvin Jones Jr.,WR43,137.0,117.2
109,110.0,Jonathan Stewart,RB42,113.0,117.6
110,111.0,Rishard Matthews,WR44,121.0,119.6
111,112.0,Philip Rivers,QB15,123.0,120.4
112,113.0,Jordan Matthews,WR45,136.0,120.6
113,114.0,Matt Forte,RB43,109.0,121.4
114,115.0,Eric Ebron,TE12,154.0,121.6
115,116.0,Darren Sproles,RB44,122.0,121.6
116,117.0,John Brown,WR46,149.0,121.8
117,118.0,Donte Moncrief,WR47,103.0,84.0
118,119.0,Jack Doyle,TE13,133.0,127.4
119,120.0,Stephen Gostkowski,K1,96.0,127.8
120,121.0,Justin Tucker,K2,100.0,128.4
121,122.0,C.J. Prosise,RB45,153.0,129.4
122,123.0,Jacquizz Rodgers,RB46,146.0,131.0
123,124.0,Ted Ginn Jr.,WR48,128.0,131.4
124,125.0,Eli Manning,QB16,127.0,137.2
125,126.0,Jason Witten,TE14,117.0,138.0
126,127.0,Andy Dalton,QB17,141.0,138.4
127,128.0,Kevin White,WR49,145.0,138.8
128,129.0,Jamaal Charles,RB47,161.0,140.4
129,130.0,Kenny Britt,WR50,111.0,106.3
130,131.0,Mike Wallace,WR51,101.0,108.3
131,132.0,Cooper Kupp,WR52,162.0,144.4
132,133.0,Austin Hooper,TE15,159.0,145.0
133,134.0,Rex Burkhead,RB48,174.0,145.4
134,135.0,Denver Broncos,DST1,83.0,112.0
135,136.0,Carson Palmer,QB18,142.0,149.2
136,137.0,Jeremy Hill,RB49,176.0,150.2
137,138.0,Corey Davis,WR53,140.0,117.3
138,139.0,Zay Jones,WR54,125.0,128.3
139,140.0,Samaje Perine,RB50,,129.8
140,141.0,Jamaal Williams,RB51,,135.3
141,142.0,Alvin Kamara,RB52,183.0,167.4
142,143.0,Matt Bryant,K3,114.0,139.8
143,144.0,O.J. Howard,TE16,152.0,144.0
144,145.0,Dan Bailey,K4,131.0,145.3
145,146.0,Giovani Bernard,RB53,138.0,146.0
146,147.0,Carson Wentz,QB19,135.0,146.3
147,148.0,Sterling Shepard,WR55,170.0,146.8
148,149.0,Coby Fleener,TE17,156.0,149.8
149,150.0,Seattle Seahawks,DST2,79.0,109.3
150,151.0,Cole Beasley,WR56,150.0,153.8
151,152.0,Latavius Murray,RB54,165.0,156.8
152,153.0,Tyler Lockett,WR57,167.0,160.0
153,154.0,New York Giants,DST3,171.0,160.3
154,155.0,Evan Engram,TE18,151.0,160.3
155,156.0,Tyrod Taylor,QB20,164.0,162.3
156,157.0,Kansas City Chiefs,DST4,107.0,123.0
157,158.0,Houston Texans,DST5,105.0,123.3
158,159.0,Julius Thomas,TE19,160.0,163.8
159,160.0,Mason Crosby,K5,157.0,166.3
160,161.0,Josh Doctson,WR58,185.0,166.3
161,162.0,Cameron Brate,TE20,158.0,170.3
162,163.0,Wendell Smallwood,RB55,,171.5
163,164.0,Taylor Gabriel,WR59,169.0,172.3
164,165.0,Minnesota Vikings,DST6,116.0,136.3
165,166.0,Arizona Cardinals,DST7,129.0,139.3
166,167.0,New England Patriots,DST8,134.0,140.3
167,168.0,Antonio Gates,TE21,143.0,177.0
168,169.0,Shane Vereen,RB56,193.0,177.5
169,170.0,Robbie Anderson,WR60,,144.7
170,171.0,Carolina Panthers,DST9,115.0,145.7
171,172.0,Mohamed Sanu Sr.,WR61,163.0,180.5
172,173.0,Adam Vinatieri,K6,126.0,147.3
173,174.0,Kenny Stills,WR62,186.0,181.8
174,175.0,Joe Flacco,QB21,144.0,183.8
175,176.0,Kendall Wright,WR63,191.0,186.0
176,177.0,Danny Amendola,WR64,147.0,192.3
177,178.0,Marqise Lee,WR65,196.0,190.8
178,179.0,Chris Thompson,RB57,177.0,191.8
179,180.0,Kenny Golladay,WR66,,161.7
180,181.0,John Ross,WR67,,162.3
181,182.0,Matt Prater,K7,166.0,172.3
182,183.0,Pittsburgh Steelers,DST10,139.0,173.3
183,184.0,Wil Lutz,K8,195.0,176.3
184,185.0,Jared Cook,TE22,148.0,206.0
185,186.0,Charles Sims,RB58,197.0,206.3
186,187.0,Jacksonville Jaguars,DST11,173.0,181.3
187,188.0,Marlon Mack,RB59,,183.0
188,189.0,Torrey Smith,WR68,178.0,209.5
189,190.0,D'Onta Foreman,RB60,,186.0
190,191.0,Cairo Santos,K9,192.0,189.7
191,192.0,Los Angeles Rams,DST12,181.0,190.0
192,193.0,Breshad Perriman,WR69,,192.0
193,194.0,Jay Cutler,QB22,,192.7
194,195.0,Baltimore Ravens,DST13,168.0,193.0
195,196.0,Dion Lewis,RB61,,193.0
196,197.0,Philadelphia Eagles,DST14,182.0,194.7
197,198.0,DeAndre Washington,RB62,,195.3
198,199.0,J.J. Nelson,WR70,,196.3
199,200.0,James Conner,RB63,,196.3
200,201.0,Atlanta Falcons,DST15,155.0,197.0
201,202.0,Charcandrick West,RB64,187.0,218.8
202,203.0,Sebastian Janikowski,K10,172.0,198.0
203,204.0,Sam Bradford,QB23,,198.0
204,205.0,Dustin Hopkins,K11,188.0,198.7
205,206.0,Malcolm Mitchell,WR71,,201.0
206,207.0,C.J. Fiedorowicz,TE23,,203.7
207,208.0,David Njoku,TE24,,204.0
208,209.0,Brandon LaFell,WR72,,204.7
209,210.0,Allen Hurns,WR73,,205.7
210,211.0,Devin Funchess,WR74,,207.0
211,212.0,Julian Edelman,WR75,,212.0
212,213.0,Jonathan Williams,RB65,,171.5
213,214.0,Spencer Ware,RB66,,217.0
214,215.0,Jalen Richard,RB67,,210.3
215,216.0,Deshaun Watson,QB24,,210.7
216,217.0,Joe Williams,RB68,,174.5
217,218.0,Robert Woods,WR76,,211.0
218,219.0,Chris Carson,RB69,,211.7
219,220.0,Cincinnati Bengals,DST16,184.0,213.7
220,221.0,T.J. Yeldon,RB70,,214.7
221,222.0,Cameron Meredith,WR77,,224.5
222,223.0,Los Angeles Chargers,DST17,175.0,216.3
223,224.0,Blair Walsh,K12,180.0,216.3
224,225.0,De'Angelo Henderson Sr.,RB71,,218.0
225,226.0,ArDarius Stewart,WR78,,218.3
226,227.0,Chris Boswell,K13,189.0,218.3
227,228.0,Mike Williams,WR79,,218.7
228,229.0,Devontae Booker,RB72,,225.3
229,230.0,Tavon Austin,WR80,,225.7
230,231.0,Graham Gano,K14,,197.0
231,232.0,Jesse James,TE25,,197.5
232,233.0,Tarik Cohen,RB73,,226.3
233,234.0,William Fuller V,WR81,,226.7
234,235.0,Matt Breida,RB74,,228.7
235,236.0,Jaron Brown,WR82,,229.7
236,237.0,Branden Oliver,RB75,,230.3
237,238.0,Curtis Samuel,WR83,,230.3
238,239.0,Charles Clay,TE26,,234.7
239,240.0,Austin Seferian-Jenkins,TE27,,230.7
240,241.0,Paul Richardson Jr.,WR84,,230.7
241,242.0,Chris Conley,WR85,,231.0
242,243.0,Stephen Hauschka,K15,,207.0
243,244.0,Kenyan Drake,RB76,,207.0
244,245.0,Alex Smith,QB25,,234.0
245,246.0,Kyle Juszczyk,RB77,,234.0
246,247.0,Caleb Sturgis,K16,194.0,236.0
247,248.0,Zach Zenner,RB78,,214.5
248,249.0,Dwayne Allen,TE28,,239.0
249,250.0,Brandon McManus,K17,,217.5
250,251.0,Chris Ivory,RB79,,218.5
251,252.0,Jimmy Garoppolo,QB26,,219.0
252,253.0,Kerwynn Williams,RB80,,222.5
253,254.0,Robert Turbin,RB81,,245.3
254,255.0,Vance McDonald,TE29,,258.3
255,256.0,Nelson Agholor,WR86,,245.3
256,257.0,Blake Bortles,QB27,,251.7
257,258.0,Chris Godwin,WR87,,229.0
258,259.0,Mitch Trubisky,QB28,,230.0
259,260.0,Harrison Butker,K18,179.0,179.0
260,261.0,Dede Westbrook,WR88,,232.5
261,262.0,Tyler Higbee,TE30,,233.0
262,263.0,Brian Hoyer,QB29,,258.7
263,264.0,Carlos Henderson,WR89,,185.0
264,265.0,Alfred Morris,RB82,,251.7
265,266.0,Younghoe Koo,K19,190.0,190.0
266,267.0,Javorius Allen,RB83,,253.0
267,268.0,Laquon Treadwell,WR90,,238.0
268,269.0,JuJu Smith-Schuster,WR91,,238.0
269,270.0,Benjamin Watson,TE31,,239.5
270,271.0,C.J. Spiller,RB84,,196.0
271,272.0,Zach Miller,TE32,,259.0
272,273.0,DeShone Kizer,QB30,,264.0
273,274.0,Tampa Bay Buccaneers,DST18,,244.5
274,275.0,Trevor Siemian,QB31,,257.7
275,276.0,Travis Benjamin,WR92,,264.7
276,277.0,Tim Hightower,RB85,,245.0
277,278.0,Jerick McKinnon,RB86,,245.5
278,279.0,Las Vegas Raiders,DST19,,245.5
279,280.0,Jared Goff,QB32,,256.0
280,281.0,Brandon Coleman,WR93,,212.0
281,282.0,George Kittle,TE33,,248.0
282,283.0,Kasen Williams,WR94,,213.0
283,284.0,Aaron Jones,RB87,,248.5
284,285.0,Chandler Catanzaro,K20,,265.5
285,286.0,Tyler Boyd,WR95,,250.0
286,287.0,Donnel Pumphrey,RB88,,218.0
287,288.0,Marquise Goodwin,WR96,,251.5
288,289.0,Tennessee Titans,DST20,,251.5
289,290.0,Josh Gordon,WR97,,251.5
290,291.0,Bruce Ellington,WR98,,220.0
291,292.0,Chester Rogers,WR99,,221.0
292,293.0,Ryan Switzer,WR100,,223.0
293,294.0,Orleans Darkwa,RB89,,263.7
294,295.0,Geronimo Allison,WR101,,230.0
295,296.0,Jermaine Kearse,WR102,,257.5
296,297.0,Gerald Everett,TE34,,258.5
297,298.0,Matt Jones,RB90,,262.0
298,299.0,Alex Erickson,WR103,,237.0
299,300.0,Matt Asiata,RB91,,238.0
300,301.0,Chris Johnson,RB92,,242.0
301,302.0,Josh McCown,QB33,,243.0
302,303.0,Phillip Dorsett II,WR104,,268.5
303,304.0,Nick Folk,K21,,246.0
304,305.0,Jermaine Gresham,TE35,,246.0
305,306.0,Wayne Gallman Jr.,RB93,,248.0
306,307.0,Andre Roberts,WR105,,250.0
307,308.0,Green Bay Packers,DST21,,252.0
308,309.0,Ryan Mathews,RB94,,252.0
309,310.0,Jeremy Kerley,WR106,,278.0
310,311.0,Cordarrelle Patterson,RB95,,256.0
311,312.0,Patrick Mahomes II,QB34,,270.0
312,313.0,Tajae Sharpe,WR107,,258.0
313,314.0,Jeremy McNichols,RB96,,258.0
314,315.0,Deonte Thompson,WR108,,260.0
315,316.0,Brandon Tate,WR109,,261.0
316,317.0,Braxton Miller,WR110,,263.0
317,318.0,New York Jets,DST22,,265.0
318,319.0,Eli Rogers,WR111,,292.0
319,320.0,Taywan Taylor,WR112,,310.5
320,321.0,Erik Swoope,TE36,,268.0
321,322.0,Dwayne Washington,RB97,,299.5
322,323.0,Markus Wheaton,WR113,,269.0
323,324.0,Vernon Davis,TE37,,292.0
324,325.0,Buffalo Bills,DST23,,270.0
325,326.0,Kamar Aiken,WR114,,271.0
326,327.0,Terrance Williams,WR115,,281.5
327,328.0,Daniel Lasco,RB98,,272.0
328,329.0,Miami Dolphins,DST24,,273.0
329,330.0,Ladarius Green,TE38,,273.0
330,331.0,Aldrick Rosas,K22,,275.0
331,332.0,Dallas Cowboys,DST25,,276.0
332,333.0,Dennis Pitta,TE39,,276.0
333,334.0,Cleveland Browns,DST26,,277.0
