,K,Overall,Player,ESPN,Yahoo,AVG
0,1.0,120.0,Stephen Gostkowski,1.0,1.0,1.2
1,2.0,126.0,Greg Zuerlein,2.0,2.0,2.0
2,3.0,138.0,Justin Tucker,3.0,3.0,3.0
3,4.0,154.0,Wil Lutz,7.0,5.0,5.3
4,5.0,166.0,Matt Bryant,5.0,4.0,6.2
5,6.0,157.0,Harrison Butker,13.0,9.0,6.3
6,7.0,159.0,Jake Elliott,9.0,6.0,7.2
7,8.0,171.0,Chris Boswell,4.0,13.0,7.3
8,9.0,172.0,Robbie Gould,8.0,17.0,9.3
9,10.0,185.0,Matt Prater,10.0,8.0,10.2
10,11.0,191.0,Mason Crosby,6.0,16.0,11.2
11,12.0,208.0,Adam Vinatieri,11.0,12.0,13.7
12,13.0,211.0,Dan Bailey,,7.0,13.8
13,14.0,212.0,Graham Gano,12.0,18.0,15.3
14,15.0,207.0,Daniel Carlson,,14.0,16.0
15,16.0,222.0,Brandon McManus,,15.0,17.2
16,17.0,258.0,Stephen Hauschka,,10.0,17.6
17,18.0,278.0,Sebastian Janikowski,,11.0,18.8
18,19.0,223.0,Josh Lambo,,19.0,19.2
19,20.0,221.0,Ryan Succop,,20.0,19.2
20,21.0,285.0,Kai Forbath,,21.0,18.5
21,22.0,272.0,Dustin Hopkins,,,22.5
22,23.0,273.0,Phil Dawson ,,,23.3
23,24.0,279.0,Brett Maher,,,22.3
24,25.0,280.0,Ka'imi Fairbairn,,,19.5
25,26.0,283.0,Caleb Sturgis,,,24.3
26,27.0,301.0,Chandler Catanzaro,,,26.3
27,28.0,328.0,Cairo Santos,,,22.5
28,29.0,319.0,Roberto Aguayo,,,24.0
29,30.0,330.0,Cody Parkey,,,25.0
30,31.0,334.0,Aldrick Rosas,,,27.0
31,32.0,390.0,Zane Gonzalez,,,26.0
32,33.0,355.0,Mike Nugent ,,,28.0
33,34.0,357.0,Randy Bullock,,,31.5
34,35.0,410.0,Jason Sanders,,,32.0
35,,,,,,
36,,,,,,
