,Rank,Player,POS,AVG
0,1.0,Saquon Barkley,RB1,1.0
1,2.0,Christian McCaffrey,RB2,2.5
2,3.0,Alvin Kamara,RB3,2.5
3,4.0,Ezekiel Elliott,RB4,4.0
4,5.0,DeAndre Hopkins,WR1,5.3
5,6.0,James Conner,RB5,6.5
6,7.0,Le'Veon Bell,RB6,7.5
7,8.0,Davante Adams,WR2,9.0
8,9.0,David Johnson,RB7,9.3
9,10.0,Nick Chubb,RB8,10.5
10,11.0,Todd Gurley,RB9,11.8
11,12.0,Patrick Mahomes,QB1,12.0
12,13.0,Michael Thomas,WR3,12.8
13,14.0,Julio Jones,WR4,13.0
14,15.0,Dalvin Cook,RB10,16.3
15,16.0,Tyreek Hill,WR5,16.3
16,17.0,JuJu Smith-Schuster,WR6,17.0
17,18.0,Odell Beckham Jr.,WR7,17.0
18,19.0,Joe Mixon,RB11,17.3
19,20.0,Travis Kelce,TE1,18.8
20,21.0,Leonard Fournette,RB12,21.5
21,22.0,Mike Evans,WR8,22.3
22,23.0,Antonio Brown,WR9,22.8
23,24.0,Adam Thielen,WR10,25.5
24,25.0,Damien Williams,RB13,26.0
25,26.0,Keenan Allen,WR11,26.8
26,27.0,Kerryon Johnson,RB14,27.0
27,28.0,Aaron Jones,RB15,28.0
28,29.0,Zach Ertz,TE2,31.3
29,30.0,Chris Carson ,RB16,31.8
30,31.0,George Kittle,TE3,32.8
31,32.0,Josh Jacobs,RB17,33.0
32,33.0,Devonta Freeman,RB18,33.3
33,34.0,Amari Cooper,WR12,33.3
34,35.0,Stefon Diggs,WR13,34.8
35,36.0,Derrick Henry,RB19,36.5
36,37.0,Deshaun Watson,QB2,38.0
37,38.0,David Montgomery,RB20,39.0
38,39.0,Marlon Mack,RB21,39.0
39,40.0,Brandin Cooks,WR14,39.3
40,41.0,Mark Ingram,RB22,42.5
41,42.0,Robert Woods,WR15,43.3
42,43.0,Julian Edelman,WR16,44.0
43,44.0,Sony Michel,RB23,44.8
44,45.0,T.Y. Hilton,WR17,45.3
45,46.0,Tyler Lockett,WR18,45.5
46,47.0,Aaron Rodgers,QB3,46.5
47,48.0,Melvin Gordon,RB24,47.5
48,49.0,Kenny Golladay,WR19,48.5
