,TE,Overall,Player,AVG
0,1.0,21.0,Travis Kelce,1.0
1,2.0,24.0,George Kittle,2.0
2,3.0,39.0,Mark Andrews,3.3
3,4.0,51.0,Zach Ertz,3.8
4,5.0,65.0,Darren Waller,5.0
5,6.0,72.0,Rob Gronkowski,6.8
6,7.0,74.0,Evan Engram,7.0
7,8.0,87.0,Hunter Henry,7.8
8,9.0,91.0,Jared Cook,9.0
9,10.0,97.0,Tyler Higbee,10.3
10,11.0,100.0,Austin Hooper,11.3
11,12.0,113.0,Hayden Hurst,12.0
12,13.0,119.0,Noah Fant,12.8
13,14.0,137.0,Mike Gesicki,14.8
14,15.0,134.0,T.J. Hockenson,15.0
15,16.0,158.0,Jonnu Smith,17.3
16,17.0,157.0,Blake Jarwin ,18.0
17,18.0,166.0,Dallas Goedert,16.7
18,19.0,167.0,Jack Doyle,18.3
19,20.0,180.0,Chris Herndon IV,18.7
20,21.0,176.0,Greg Olsen,22.0
21,22.0,185.0,Eric Ebron,20.0
22,23.0,207.0,.J. Howard,23.0
23,24.0,199.0,Ian Thomas,22.5
24,25.0,232.0,Kyle Rudolph,24.5
25,26.0,227.0,Tyler Eifert,24.0
26,27.0,228.0,Irv Smith Jr.,25.0
27,28.0,267.0,David Njoku,28.0
28,29.0,231.0,Devin Asiasi,26.0
29,30.0,247.0,Dawson Knox,29.0
30,31.0,256.0,Cole Kmet,30.0
31,32.0,268.0,Will Dissly,32.0
32,33.0,269.0,Jace Sternberger,33.0
33,34.0,273.0,Jimmy Graham,34.0
34,35.0,282.0,Logan Thomas,35.0
35,36.0,283.0,Gerald Everett,36.0
36,37.0,294.0,Vance McDonald,37.0
37,38.0,308.0,Jacob Hollister,38.0
38,39.0,311.0,Cameron Brate,39.0
39,40.0,324.0,Trey Burton,40.0
40,41.0,327.0,Dan Arnold,41.0
41,42.0,329.0,Adam Trautman,42.0
42,43.0,346.0,Mo Alie-Cox,43.0
43,,,,
44,,,,
