,DST,Overall,Player,ESPN,Yahoo,AVG
0,1.0,106.0,Pittsburgh Steelers (7),2.0,4.0,1.6
1,2.0,103.0,Los Angeles Rams (11),6.0,1.0,1.6
2,3.0,108.0,Tampa Bay Buccaneers (9),1.0,3.0,3.0
3,4.0,118.0,Washington Commanders (9),4.0,2.0,4.0
4,5.0,122.0,Baltimore Ravens (8),3.0,6.0,4.6
5,6.0,134.0,San Francisco 49ers (6),7.0,5.0,6.8
6,7.0,131.0,Buffalo Bills (7),5.0,11.0,7.0
7,8.0,149.0,Indianapolis Colts (14),9.0,16.0,8.2
8,9.0,154.0,New England Patriots (14),11.0,17.0,9.8
9,10.0,162.0,Denver Broncos (11),8.0,8.0,10.6
10,11.0,177.0,Kansas City Chiefs (12),14.0,9.0,11.8
11,12.0,171.0,Cleveland Browns (13),10.0,7.0,12.0
12,13.0,175.0,Miami Dolphins (14),16.0,22.0,13.0
13,14.0,222.0,Green Bay Packers (13),15.0,18.0,15.4
14,15.0,262.0,New Orleans Saints (6),12.0,23.0,15.8
15,16.0,221.0,Seattle Seahawks (9),18.0,13.0,16.4
16,17.0,226.0,Arizona Cardinals (12),19.0,15.0,17.2
17,18.0,234.0,Tennessee Titans (13),20.0,12.0,17.6
18,19.0,242.0,Chicago Bears (10),17.0,21.0,17.6
19,20.0,325.0,Dallas Cowboys (7),,10.0,17.8
20,21.0,210.0,Minnesota Vikings (7),13.0,24.0,20.4
21,22.0,261.0,Carolina Panthers (13),22.0,20.0,21.8
22,23.0,345.0,New York Giants (10),,14.0,20.8
23,24.0,252.0,Los Angeles Chargers (7),21.0,,21.3
24,25.0,342.0,Philadelphia Eagles (14),,19.0,23.3
25,26.0,276.0,Houston Texans (10),,,18.0
26,27.0,366.0,Jacksonville Jaguars (7),,,23.0
27,28.0,357.0,New York Jets (6),,,27.0
28,29.0,370.0,Atlanta Falcons (6),,,29.0
29,30.0,385.0,Detroit Lions (9),,,30.0
30,31.0,408.0,Cincinnati Bengals (10),,,31.0
31,,,,,,
32,,,,,,
