,QB,Overall,Player,ESPN,Yahoo,AVG
0,1.0,13.0,Patrick Mahomes II,1.0,1.0,1.0
1,2.0,26.0,Josh Allen,2.0,2.0,2.0
2,3.0,37.0,Kyler Murray,3.0,4.0,3.4
3,4.0,40.0,Lamar Jackson,4.0,3.0,3.6
4,5.0,46.0,Aaron Rodgers,5.0,7.0,5.2
5,6.0,53.0,Dak Prescott,6.0,6.0,6.2
6,7.0,50.0,Russell Wilson,7.0,5.0,6.6
7,8.0,59.0,Justin Herbert,8.0,8.0,8.0
8,9.0,68.0,Tom Brady,9.0,9.0,9.0
9,10.0,81.0,Matthew Stafford,10.0,12.0,10.2
10,11.0,85.0,Ryan Tannehill,12.0,11.0,11.2
11,12.0,96.0,Jalen Hurts,11.0,10.0,11.6
12,13.0,107.0,Joe Burrow,13.0,13.0,13.0
13,14.0,130.0,Baker Mayfield,14.0,15.0,15.6
14,15.0,129.0,Matt Ryan,18.0,20.0,16.0
15,16.0,128.0,Trevor Lawrence,15.0,17.0,16.0
16,17.0,138.0,Justin Fields,17.0,25.0,17.6
17,18.0,150.0,Kirk Cousins,23.0,22.0,19.6
18,19.0,153.0,Ben Roethlisberger,19.0,19.0,19.6
19,20.0,142.0,Trey Lance,20.0,29.0,20.4
20,21.0,163.0,Tua Tagovailoa,16.0,23.0,21.2
21,22.0,152.0,Jameis Winston,21.0,26.0,22.0
22,23.0,190.0,Derek Carr,25.0,21.0,23.6
23,24.0,161.0,Mac Jones,22.0,18.0,24.0
24,25.0,168.0,Ryan Fitzpatrick ,24.0,31.0,24.6
25,26.0,200.0,Zach Wilson,26.0,27.0,26.6
26,27.0,204.0,Deshaun Watson,28.0,24.0,28.0
27,28.0,233.0,Carson Wentz,31.0,30.0,29.4
28,29.0,329.0,Teddy Bridgewater,29.0,16.0,27.8
29,30.0,256.0,Daniel Jones,27.0,32.0,29.0
30,31.0,307.0,Cam Newton,33.0,14.0,26.3
31,32.0,265.0,Sam Darnold,32.0,28.0,29.8
32,33.0,327.0,Jared Goff,30.0,,32.0
33,34.0,245.0,Taysom Hill,,,31.5
34,35.0,298.0,Tyrod Taylor,,,31.5
35,36.0,286.0,Drew Lock,,,32.0
36,37.0,334.0,Jimmy Garoppolo,,,33.5
37,38.0,,Andy Dalton,,,34.0
38,39.0,382.0,Marcus Mariota,,,38.0
39,40.0,406.0,Jordan Love,,,39.0
40,,,,,,
41,,,,,,
