"Rank","Player","Team","Bye","POS","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","Jonathan Taylor","IND","14 ","RB1","","","1","","1","1.0"
"2","Christian McCaffrey","SF","9","RB2","","","2","","3","2.5"
"3","Austin Ekeler","LAC","8","RB3","","","3","","4","3.5"
"4","Derrick Henry","TEN","6","RB4","","","8","","2","5.0"
"5","Dalvin Cook","MIN","7","RB5","","","7","","5","6.0"
"6","Cooper Kupp","LAR","7 ","WR1","","","5","","7","6.0"
"7","Najee Harris","PIT","9","RB6","","","6","","6","6.0"
"8","Justin Jefferson","MIN","7","WR2","","","4","","9","6.5"
"9","Joe Mixon","CIN","10","RB7","","","11","","8","9.5"
"10","Ja'Marr Chase","CIN","10","WR3","","","9","","13","11.0"
"11","Alvin Kamara","NO","14","RB8","","","12","","12","12.0"
"12","D'Andre Swift","DET","6","RB9","","","10","","15","12.5"
"13","Davante Adams","LV","6","WR4","","","15","","11","13.0"
"14","Nick Chubb","CLE","9","RB10","","","19","","10","14.5"
"15","Stefon Diggs","BUF","7","WR5","","","13","","16","14.5"
"16","Travis Kelce","KC","8","TE1","","","17","","14","15.5"
"17","Saquon Barkley","NYG","9","RB11","","","14","","18","16.0"
"18","Javonte Williams","DEN","9 ","RB12","","","16","","22","19.0"
"19","Aaron Jones","GB","14","RB13","","","23","","17","20.0"
"20","CeeDee Lamb","DAL","9","WR6","","","21","","19","20.0"
"21","Josh Allen","BUF","7","QB1","","","20","","20","20.0"
"22","Deebo Samuel","SF","9","WR7","","","18","","23","20.5"
"23","Tyreek Hill","MIA","11","WR8","","","24","","21","22.5"
"24","Leonard Fournette","TB","11","RB14","","","22","","24","23.0"
"25","Mark Andrews","BAL","10","TE2","","","25","","25","25.0"
"26","Mike Evans","TB","11","WR9","","","28","","26","27.0"
"27","James Conner","ARI","13","RB15","","","26","","28","27.0"
"28","Ezekiel Elliott","DAL","9","RB16","","","27","","27","27.0"
"29","A.J. Brown","PHI","7","WR10","","","30","","29","29.5"
"30","Patrick Mahomes II","KC","8","QB2","","","31","","30","30.5"
"31","Kyle Pitts","ATL","14 ","TE3","","","32","","32","32.0"
"32","Keenan Allen","LAC","8","WR11","","","34","","31","32.5"
"33","Michael Pittman Jr.","IND","14","WR12","","","29","","38","33.5"
"34","Justin Herbert","LAC","8","QB3","","","35","","33","34.0"
"35","Tee Higgins","CIN","10","WR13","","","37","","34","35.5"
"36","Travis Etienne Jr.","JAC","11","RB17","","","33","","40","36.5"
"37","Cam Akers","LAR","7","RB18","","","38","","35","36.5"
"38","David Montgomery","CHI","14","RB19","","","36","","37","36.5"
"39","DJ Moore","CAR","13","WR14","","","39","","43","41.0"
"40","George Kittle","SF","9","TE4","","","48","","36","42.0"
"41","Lamar Jackson","BAL","10","QB4","","","44","","41","42.5"
"42","Courtland Sutton","DEN","9","WR15","","","40","","46","43.0"
