"QB","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","21","Josh Allen","BUF","7","1","1","","","1","","1","1.0"
"2","30","Patrick Mahomes II","KC","8","2","2","","","2","","2","2.0"
"3","34","Justin Herbert","LAC","8","3","3","","","3","","3","3.0"
"4","41","Lamar Jackson","BAL","10","4","4","","","4","","4","4.0"
"5","53","Kyler Murray","ARI","13 ","5","6","","","6","","5","5.5"
"6","55","Jalen Hurts","PHI","7","6","7","","","5","","7","6.3"
"7","56","Joe Burrow","CIN","10","9","5","","","7","","6","6.8"
"8","75","Tom Brady","TB","11","7","8","","","8","","9","8.0"
"9","89","Aaron Rodgers","GB","14","8","11","","","11","","10","9.5"
"10","76","Russell Wilson","DEN","9","11","9","","","9","","8","10.0"
"11","88","Dak Prescott","DAL","9","10","10","","","10","","11","10.0"
"12","102","Matthew Stafford","LAR","7 ","12","13","","","12","","12","12.3"
"13","104","Trey Lance","SF","9 ","13","12","","","13","","13","12.8"
"14","107","Derek Carr","LV","6","14","14","","","14","","14","14.0"
"15","116","Kirk Cousins","MIN","7","15","15","","","15","","15","15.0"
"16","127","Tua Tagovailoa","MIA","11","16","22","","","16","","16","17.5"
"17","142","Justin Fields","CHI","14","18","23","","","17","","18","18.8"
"18","150","Trevor Lawrence","JAC","11","17","25","","","18","","19","20.3"
"19","173","Mac Jones","NE","10","21","20","","","25","","21","21.3"
"20","181","Ryan Tannehill","TEN","6 ","23","21","","","22","","25","21.5"
"21","146","Jameis Winston","NO","14","19","27","","","19","","17","22.0"
"22","163","Matt Ryan","IND","14","20","28","","","20","","20","22.5"
"23","189","Baker Mayfield","LAR","7","22","17","","","29","","23","23.0"
"24","227","Carson Wentz","WAS","14","24","19","","","23","","95","22.0"
"25","204","Deshaun Watson","CLE","9","26","24","","","34","","22","25.5"
"26","207","Kenny Pickett","PIT","9","28","16","","","33","","24","25.5"
"27","195","Jared Goff","DET","6","27","26","","","21","","27","24.7"
"28","202","Daniel Jones","NYG","9","25","29","","","27","","26","27.0"
"29","245","Taysom Hill","NO","14","","18","","","","","","18.0"
"30","208","Zach Wilson","NYJ","10","29","","","","26","","28","27.5"
"31","230","Davis Mills","HOU","6","","","","","24","","97","24.0"
"32","235","Marcus Mariota","ATL","14 ","31","","","","28","","96","29.5"
"33","236","Mitch Trubisky","PIT","9","30","","","","30","","93","30.0"
"34","238","Jacoby Brissett","CLE","9","","","","","31","","59","31.0"
"35","241","Geno Smith","SEA","11","","","","","32","","58","32.0"
"36","258","Jimmy Garoppolo","SF","9 ","","","","","35","","102","35.0"
"37","275","Desmond Ridder","ATL","14","","","","","36","","101","36.0"
"38","280","Malik Willis","TEN","6","","","","","37","","85","37.0"
"39","328","Drew Lock","SEA","11","","","","","38","","89","38.0"
""
""
