Tm,Rk_conversions,G_x,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct,Rk_drives,#Dr,Plays,Sc%_drives,TO%_drives,Plays_drive,Yds_drive,Start,Time,Pts_drive,Rk_po,Cmp_po,Att_po,Cmp%,Yds_po,TD_po,TD%_po,Int_po,Int%_po,Lng_po,Y/A_po,AY/A,Y/C,Y/G_po,Rate,Sk,Yds_po,Sk%,NY/A_po,ANY/A,4QC,GWD,EXP_po,Rk_ro,Att_ro,Yds_ro,TD_ro,Lng_ro,Y/A_ro,Y/G_ro,Fmb,EXP_ro,Rk_so,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts_so,Pts/G,Rk_to,PF,Yds_to,Ply,Y/P,TO,FL,1stD,Pen,Yds.p,1stPy,Sc%_to,TO%_to,EXP
Buffalo Bills,1.0,16.0,241.0,101.0,41.9%,15.0,2.0,13.3%,44.0,23.0,52.3%,19.0,180,1066,31.7,8.9,5.9,26.9,Own 28.2,2:31,1.57,31.0,289.0,476.0,60.7,2825.0,16.0,3.4,10.0,2.1,47.0,6.5,6.2,10.7,176.6,82.1,47.0,261.0,9.0,5.4,5.2,1.0,3.0,-66.0,6.0,487.0,2017.0,12.0,48.0,4.1,126.1,17.0,-88.93,17.0,29.0,17.0,0.0,0.0,2.0,1.0,0.0,49.0,4.0,4.0,0.0,40.0,45.0,19.0,25.0,0.0,399.0,24.9,22.0,302.0,4842.0,1010.0,4.8,16.0,6.0,278.0,98.0,872.0,24.0,31.7,8.9,-156.16
Philadelphia Eagles,2.0,16.0,230.0,96.0,41.7%,26.0,17.0,65.4%,55.0,36.0,65.5%,10.0,191,1109,40.3,9.4,5.8,30.5,Own 30.0,2:44,2.21,13.0,341.0,564.0,60.5,3737.0,38.0,6.7,9.0,1.6,72.0,7.0,7.7,11.6,233.6,97.6,36.0,230.0,6.0,6.2,6.8,2.0,3.0,136.52,3.0,473.0,2115.0,9.0,71.0,4.5,132.2,25.0,-109.1,12.0,16.0,16.0,0.0,2.0,0.0,3.0,0.0,37.0,4.0,6.0,0.0,30.0,31.0,35.0,41.0,1.0,367.0,22.9,3.0,457.0,5852.0,1073.0,5.5,20.0,11.0,338.0,116.0,962.0,37.0,40.3,9.4,21.06
Minnesota Vikings,3.0,16.0,216.0,94.0,43.5%,7.0,1.0,14.3%,57.0,33.0,57.9%,15.0,185,1094,38.9,7.6,5.9,30.9,Own 29.4,2:48,2.03,11.0,357.0,527.0,67.7,3753.0,25.0,4.7,8.0,1.5,65.0,7.5,7.7,11.0,234.6,99.1,27.0,176.0,4.9,6.8,7.0,1.0,3.0,85.46,7.0,501.0,1957.0,15.0,58.0,3.9,122.3,11.0,-133.79,6.0,9.0,20.0,2.0,1.0,2.0,2.0,0.0,36.0,1.0,3.0,0.0,26.0,33.0,27.0,31.0,1.0,327.0,20.4,10.0,382.0,5710.0,1055.0,5.4,14.0,6.0,334.0,100.0,949.0,38.0,38.9,7.6,-54.08
Denver Broncos,4.0,16.0,241.0,94.0,39.0%,20.0,7.0,35.0%,48.0,19.0,39.6%,6.0,193,1106,26.4,16.6,5.7,26.9,Own 27.0,2:37,1.35,20.0,332.0,566.0,58.7,3333.0,19.0,3.4,22.0,3.9,54.0,6.5,5.4,11.0,208.3,73.0,52.0,335.0,8.4,5.4,4.4,0.0,0.0,-94.36,12.0,457.0,1852.0,8.0,40.0,4.1,115.8,26.0,-59.3,4.0,11.0,20.0,0.0,0.0,1.0,3.0,0.0,35.0,1.0,2.0,1.0,32.0,33.0,29.0,34.0,0.0,333.0,20.8,27.0,289.0,5185.0,1075.0,4.8,34.0,12.0,297.0,113.0,885.0,25.0,26.4,16.6,-165.14
Carolina Panthers,5.0,16.0,222.0,93.0,41.9%,11.0,5.0,45.5%,52.0,28.0,53.8%,22.0,179,1059,37.4,11.7,5.9,28.8,Own 30.0,2:53,1.97,28.0,293.0,501.0,58.5,3077.0,22.0,4.4,16.0,3.2,64.0,6.6,6.1,11.3,192.3,79.8,35.0,242.0,6.5,5.7,5.2,1.0,3.0,-6.15,4.0,490.0,2102.0,15.0,69.0,4.3,131.4,19.0,-94.78,26.0,16.0,21.0,0.0,0.0,2.0,1.0,0.0,40.0,3.0,6.0,0.0,31.0,34.0,30.0,38.0,1.0,369.0,23.1,12.0,363.0,5179.0,1026.0,5.0,22.0,6.0,320.0,83.0,682.0,32.0,37.4,11.7,-100.34
Pittsburgh Steelers,6.0,16.0,209.0,92.0,44.0%,8.0,3.0,37.5%,63.0,32.0,50.8%,21.0,179,1091,43.0,10.6,6.1,33.7,Own 29.3,2:52,2.23,3.0,384.0,590.0,65.1,4380.0,29.0,4.9,15.0,2.5,97.0,7.7,7.5,11.8,273.8,94.1,24.0,154.0,3.9,7.1,7.0,3.0,4.0,84.45,20.0,437.0,1667.0,12.0,29.0,3.8,104.2,15.0,-116.88,10.0,13.0,33.0,0.0,0.0,1.0,0.0,0.0,47.0,3.0,9.0,0.0,37.0,37.0,24.0,28.0,1.0,399.0,24.9,8.0,406.0,6047.0,1051.0,5.8,20.0,5.0,348.0,101.0,897.0,35.0,43.0,10.6,-32.55
San Francisco 49ers,7.0,16.0,234.0,91.0,38.9%,18.0,8.0,44.4%,51.0,24.0,47.1%,18.0,184,1102,37.5,12.0,6.0,30.3,Own 27.6,2:33,1.78,9.0,362.0,607.0,59.6,3925.0,15.0,2.5,15.0,2.5,83.0,7.0,6.4,11.7,245.3,78.8,43.0,310.0,6.6,6.0,5.5,2.0,2.0,-67.29,21.0,408.0,1662.0,15.0,61.0,4.1,103.9,14.0,-88.47,32.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,36.0,2.0,2.0,0.0,33.0,34.0,18.0,21.0,1.0,309.0,19.3,20.0,331.0,5587.0,1058.0,5.3,23.0,8.0,321.0,123.0,988.0,27.0,37.5,12.0,-173.95
Los Angeles Rams,8.0,16.0,214.0,88.0,41.1%,12.0,5.0,41.7%,69.0,38.0,55.1%,12.0,190,1047,45.3,9.5,5.5,30.4,Own 32.9,2:32,2.33,10.0,320.0,518.0,61.8,3831.0,28.0,5.4,7.0,1.4,94.0,7.8,8.2,12.6,239.4,98.3,28.0,192.0,5.1,7.0,7.5,1.0,1.0,44.57,8.0,454.0,1953.0,17.0,57.0,4.3,122.1,29.0,-77.03,23.0,9.0,14.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,1.0,0.0,23.0,23.0,19.0,22.0,0.0,224.0,14.0,1.0,478.0,5784.0,1000.0,5.8,21.0,14.0,311.0,107.0,922.0,29.0,45.3,9.5,-43.18
Atlanta Falcons,9.0,16.0,197.0,88.0,44.7%,13.0,4.0,30.8%,54.0,27.0,50.0%,32.0,165,1027,41.2,10.3,6.2,35.3,Own 25.9,2:54,2.06,8.0,343.0,530.0,64.7,3990.0,21.0,4.0,12.0,2.3,88.0,7.8,7.6,12.1,249.4,92.4,24.0,156.0,4.3,7.2,7.0,2.0,3.0,56.35,13.0,430.0,1847.0,12.0,52.0,4.3,115.4,17.0,-96.37,27.0,20.0,38.0,0.0,0.0,2.0,3.0,0.0,63.0,2.0,6.0,0.0,56.0,57.0,34.0,37.0,0.0,540.0,33.8,15.0,353.0,5837.0,984.0,5.9,18.0,6.0,330.0,102.0,918.0,29.0,41.2,10.3,-46.05
Indianapolis Colts,10.0,16.0,228.0,87.0,38.2%,17.0,8.0,47.1%,40.0,16.0,40.0%,20.0,180,1030,29.4,8.3,5.7,25.2,Own 27.3,2:38,1.42,30.0,285.0,487.0,58.5,2892.0,13.0,2.7,9.0,1.8,80.0,6.6,6.3,11.3,180.8,79.7,56.0,334.0,10.3,5.3,5.1,0.0,1.0,-95.71,22.0,451.0,1661.0,11.0,35.0,3.7,103.8,20.0,-87.6,22.0,13.0,32.0,0.0,1.0,1.0,0.0,0.0,47.0,2.0,3.0,0.0,44.0,44.0,27.0,31.0,0.0,411.0,25.7,30.0,263.0,4553.0,994.0,4.6,15.0,6.0,267.0,92.0,779.0,25.0,29.4,8.3,-189.77
