Player,Rank,POS,AVG,Rk,Tmrank,FantPos,Age,G,GS,Cmprank,Attrank,Ydsrank,TDrank,Intrank,Att.1rank,Yds.1rank,Y/A,TD.1rank,Tgtrzru,Recrzru,Yds.2rzpa,Y/R,TD.2rzpa,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999rank,Tmrzpa,Cmprzpa,Attrzpa,Cmp%,Ydsrzpa,TDrzpa,Intrzpa,Cmp.1,Att.1rzpa,Cmp%.1,Yds.1rzpa,TD.1rzpa,Int.1,Linkrzpa,-9999rzpa,Tmrzru,Att,Ydsrzru,TDrzru,%Rush,Att.1,Yds.1rzru,TD.1rzru,%Rush.1,Att.2,Yds.2rzru,TD.2rzru,%Rush.2,Linkrzru,-9999rzru,Tmrzre,Tgtrzre,Recrzre,Ctch%,Ydsrzre,TDrzre,%Tgt,Tgt.1,Rec.1,Ctch%.1,Yds.1rzre,TD.1rzre,%Tgt.1,Link,-9999rzre
Saquon Barkley,1.0,RB1,1.0,21.0,NYG,RB,22.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,217.0,1003.0,4.62,6.0,73.0,52.0,438.0,8.42,2.0,1.0,0.0,8.0,0.0,0.0,192.0,244.1,250.1,218.1,52.0,10.0,21.0,BarkSa00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,NYG,28.0,74.0,3.0,59.6%,16.0,33.0,3.0,53.3%,7.0,-1.0,1.0,53.8%,All Saquon Barkley red zone rushing plays,BarkSa00,NYG,7.0,3.0,42.86%,7.0,1.0,10.4%,5.0,2.0,40.00%,6.0,1.0,18.5%,All Saquon Barkley red zone receiving plays,BarkSa00
Christian McCaffrey,2.0,RB2,2.5,1.0,CAR,RB,23.0,16.0,16.0,0.0,2.0,0.0,0.0,0.0,287.0,1387.0,4.83,15.0,142.0,116.0,1005.0,8.66,4.0,1.0,0.0,19.0,1.0,0.0,355.0,471.2,477.2,413.2,215.0,1.0,1.0,McCaCh01,CAR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,All Christian McCaffrey red zone passing plays,McCaCh01,CAR,54.0,143.0,11.0,80.6%,32.0,62.0,10.0,80.0%,17.0,15.0,8.0,81.0%,All Christian McCaffrey red zone rushing plays,McCaCh01,CAR,14.0,10.0,71.43%,66.0,3.0,23.0%,6.0,4.0,66.67%,20.0,2.0,20.0%,All Christian McCaffrey red zone receiving plays,McCaCh01
Alvin Kamara,3.0,RB3,2.5,41.0,NOR,RB,24.0,14.0,9.0,1.0,1.0,13.0,0.0,0.0,171.0,797.0,4.66,5.0,97.0,81.0,533.0,6.58,1.0,4.0,1.0,6.0,0.0,0.0,168.0,248.5,255.5,208.0,27.0,16.0,41.0,KamaAl00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,NOR,26.0,94.0,4.0,37.7%,14.0,26.0,3.0,38.9%,7.0,7.0,3.0,53.8%,All Alvin Kamara red zone rushing plays,KamaAl00,NOR,11.0,7.0,63.64%,30.0,0.0,14.3%,7.0,5.0,71.43%,28.0,0.0,20.0%,All Alvin Kamara red zone receiving plays,KamaAl00
Ezekiel Elliott,4.0,RB4,4.0,5.0,DAL,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,301.0,1357.0,4.51,12.0,71.0,54.0,420.0,7.78,2.0,3.0,2.0,14.0,0.0,0.0,258.0,311.7,319.7,284.7,117.0,4.0,5.0,ElliEz00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,DAL,59.0,162.0,11.0,77.6%,31.0,57.0,11.0,77.5%,12.0,18.0,9.0,80.0%,All Ezekiel Elliott red zone rushing plays,ElliEz00,DAL,11.0,6.0,54.55%,47.0,2.0,19.0%,3.0,2.0,66.67%,7.0,0.0,15.0%,All Ezekiel Elliott red zone receiving plays,ElliEz00
DeAndre Hopkins,5.0,WR1,5.3,35.0,HOU,WR,27.0,15.0,15.0,1.0,2.0,6.0,1.0,1.0,2.0,18.0,9.0,0.0,150.0,104.0,1165.0,11.2,7.0,0.0,0.0,7.0,1.0,0.0,165.0,268.5,272.5,217.5,35.0,10.0,35.0,HopkDe00,HOU,1.0,2.0,50.0,6.0,1.0,1.0,1.0,1.0,100.0,6.0,1.0,0.0,All DeAndre Hopkins red zone passing plays,HopkDe00,HOU,1.0,6.0,0.0,1.6%,1.0,6.0,0.0,3.3%,0.0,0.0,0.0,.0%,All DeAndre Hopkins red zone rushing plays,HopkDe00,HOU,13.0,7.0,53.85%,40.0,4.0,21.0%,5.0,4.0,80.00%,9.0,3.0,20.8%,All DeAndre Hopkins red zone receiving plays,HopkDe00
James Conner,6.0,RB5,6.5,111.0,PIT,RB,24.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,116.0,464.0,4.0,4.0,38.0,34.0,251.0,7.38,3.0,1.0,1.0,7.0,0.0,0.0,112.0,145.5,152.5,128.5,0.0,33.0,0.0,ConnJa00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,PIT,13.0,38.0,4.0,22.0%,7.0,14.0,3.0,21.2%,5.0,5.0,2.0,38.5%,All James Conner red zone rushing plays,ConnJa00,PIT,5.0,5.0,100.00%,10.0,1.0,11.4%,0.0,0.0,0,0.0,0.0,.0%,All James Conner red zone receiving plays,ConnJa00
Le'Veon Bell,7.0,RB6,7.5,63.0,NYJ,RB,27.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,245.0,789.0,3.22,3.0,78.0,66.0,461.0,6.98,1.0,1.0,1.0,4.0,1.0,0.0,149.0,215.0,222.0,182.0,8.0,21.0,63.0,BellLe00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,NYJ,19.0,44.0,3.0,59.4%,9.0,23.0,3.0,69.2%,5.0,5.0,3.0,71.4%,All Le'Veon Bell red zone rushing plays,BellLe00,NYJ,9.0,6.0,66.67%,23.0,1.0,18.4%,3.0,3.0,100.00%,16.0,1.0,16.7%,All Le'Veon Bell red zone receiving plays,BellLe00
Davante Adams,8.0,WR2,9.0,74.0,GNB,WR,27.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,83.0,997.0,12.01,5.0,2.0,1.0,5.0,1.0,0.0,130.0,212.7,216.7,171.2,1.0,29.0,74.0,AdamDa01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,GNB,18.0,12.0,66.67%,75.0,3.0,24.7%,5.0,4.0,80.00%,14.0,2.0,15.2%,All Davante Adams red zone receiving plays,AdamDa01
David Johnson,9.0,RB7,9.3,119.0,ARI,RB,28.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,94.0,345.0,3.67,2.0,47.0,36.0,370.0,10.28,4.0,1.0,1.0,6.0,0.0,0.0,106.0,141.5,148.5,123.5,0.0,37.0,0.0,JohnDa08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,ARI,15.0,26.0,2.0,25.9%,7.0,11.0,2.0,25.9%,5.0,4.0,2.0,35.7%,All David Johnson red zone rushing plays,JohnDa08,ARI,6.0,6.0,100.00%,38.0,2.0,8.7%,2.0,2.0,100.00%,7.0,1.0,6.3%,All David Johnson red zone receiving plays,JohnDa08
Nick Chubb,10.0,RB8,10.5,9.0,CLE,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,298.0,1494.0,5.01,8.0,49.0,36.0,278.0,7.72,0.0,3.0,3.0,8.0,0.0,0.0,219.0,255.2,264.2,237.2,79.0,6.0,9.0,ChubNi00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CLE,50.0,82.0,6.0,74.6%,32.0,12.0,4.0,74.4%,15.0,-14.0,2.0,78.9%,All Nick Chubb red zone rushing plays,ChubNi00,CLE,4.0,1.0,25.00%,1.0,0.0,5.8%,1.0,0.0,0.00%,0.0,0.0,2.7%,All Nick Chubb red zone receiving plays,ChubNi00
Todd Gurley,11.0,RB9,11.8,24.0,LAR,RB,25.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,223.0,857.0,3.84,12.0,49.0,31.0,207.0,6.68,2.0,3.0,2.0,14.0,1.0,0.0,188.0,219.4,227.4,203.9,48.0,12.0,24.0,GurlTo01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LAR,51.0,139.0,12.0,63.0%,29.0,50.0,11.0,55.8%,12.0,12.0,6.0,54.5%,All Todd Gurley red zone rushing plays,GurlTo01,LAR,4.0,3.0,75.00%,8.0,2.0,6.0%,1.0,1.0,100.00%,2.0,1.0,2.9%,All Todd Gurley red zone receiving plays,GurlTo01
Patrick Mahomes,12.0,QB1,12.0,48.0,KAN,QB,24.0,14.0,14.0,319.0,484.0,4031.0,26.0,5.0,43.0,218.0,5.07,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,287.0,287.0,300.0,292.0,23.0,7.0,48.0,MahoPa00,KAN,29.0,56.0,51.79,206.0,11.0,1.0,11.0,25.0,44.0,29.0,6.0,1.0,All Patrick Mahomes red zone passing plays,MahoPa00,KAN,7.0,45.0,2.0,10.4%,3.0,11.0,0.0,8.6%,0.0,0.0,0.0,.0%,All Patrick Mahomes red zone rushing plays,MahoPa00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0
Michael Thomas,13.0,WR3,12.8,7.0,NOR,WR,26.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,-9.0,-9.0,0.0,185.0,149.0,1725.0,11.58,9.0,1.0,0.0,9.0,0.0,0.0,226.0,374.6,377.6,300.1,97.0,1.0,7.0,ThomMi05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,NOR,22.0,16.0,72.73%,145.0,8.0,28.6%,9.0,4.0,44.44%,15.0,4.0,25.7%,All Michael Thomas red zone receiving plays,ThomMi05
