,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Player,Tm,Cmp,Att,Cmp%,Yds,TD,Int,Cmp,Att,Cmp%,Yds,TD,Int,Link,-9999
Russell Wilson,SEA,44,89,49.44,360,25,1,20,33,60.61,107,15,0,All Russell Wilson red zone passing plays,WilsRu00
Lamar Jackson,BAL,38,60,63.33,263,24,0,18,28,64.29,90,16,0,All Lamar Jackson red zone passing plays,JackLa00
Matt Ryan,ATL,43,81,53.09,299,20,2,18,29,62.07,110,14,2,All Matt Ryan red zone passing plays,RyanMa00
Jameis Winston,TAM,38,69,55.07,289,19,1,20,41,48.78,108,15,1,All Jameis Winston red zone passing plays,WinsJa00
Carson Wentz,PHI,41,69,59.42,244,19,0,17,30,56.67,64,15,0,All Carson Wentz red zone passing plays,WentCa00
Drew Brees,NOR,39,56,69.64,259,18,1,16,25,64.00,65,11,0,All Drew Brees red zone passing plays,BreeDr00
Jared Goff,LAR,46,70,65.71,261,18,0,23,37,62.16,118,15,0,All Jared Goff red zone passing plays,GoffJa00
Deshaun Watson,HOU,33,59,55.93,284,18,2,11,22,50.00,48,8,1,All Deshaun Watson red zone passing plays,WatsDe00
Gardner Minshew,JAX,29,58,50.00,215,16,1,15,32,46.88,66,10,1,All Gardner Minshew red zone passing plays,MinsGa00
Aaron Rodgers,GNB,46,78,58.97,295,16,2,23,36,63.89,105,10,1,All Aaron Rodgers red zone passing plays,RodgAa00
Ryan Fitzpatrick,MIA,37,67,55.22,306,16,1,10,21,47.62,34,6,0,All Ryan Fitzpatrick red zone passing plays,FitzRy00
Kirk Cousins,MIN,30,51,58.82,187,16,1,13,26,50.00,56,12,1,All Kirk Cousins red zone passing plays,CousKi00
Jimmy Garoppolo,SFO,46,73,63.01,282,16,2,25,40,62.50,120,16,1,All Jimmy Garoppolo red zone passing plays,GaroJi00
Dak Prescott,DAL,32,61,52.46,277,16,0,10,21,47.62,40,7,0,All Dak Prescott red zone passing plays,PresDa01
Baker Mayfield,CLE,30,74,40.54,186,15,3,15,39,38.46,66,13,3,All Baker Mayfield red zone passing plays,MayfBa00
Philip Rivers,LAC,43,79,54.43,298,15,3,20,37,54.05,75,9,2,All Philip Rivers red zone passing plays,RivePh00
Derek Carr,OAK,42,72,58.33,283,15,2,18,36,50.00,93,12,1,All Derek Carr red zone passing plays,CarrDe02
Jacoby Brissett,IND,30,58,51.72,180,15,0,15,26,57.69,47,10,0,All Jacoby Brissett red zone passing plays,BrisJa00
Mitchell Trubisky,CHI,31,61,50.82,178,14,4,14,32,43.75,59,10,1,All Mitchell Trubisky red zone passing plays,TrubMi00
Ryan Tannehill,TEN,26,37,70.27,181,14,3,14,18,77.78,67,10,1,All Ryan Tannehill red zone passing plays,TannRy00
Kyle Allen,CAR,32,58,55.17,195,14,3,15,32,46.88,54,10,1,All Kyle Allen red zone passing plays,AlleKy00
Tom Brady,NWE,50,91,54.95,288,13,2,19,45,42.22,96,9,1,All Tom Brady red zone passing plays,BradTo00
Sam Darnold,NYJ,26,52,50.00,171,12,4,11,19,57.89,40,8,1,All Sam Darnold red zone passing plays,DarnSa00
Kyler Murray,ARI,41,74,55.41,250,12,2,19,36,52.78,68,10,1,All Kyler Murray red zone passing plays,MurrKy00
Josh Allen,BUF,24,50,48.00,143,12,0,13,21,61.90,43,8,0,All Josh Allen red zone passing plays,AlleJo02
Daniel Jones,NYG,31,59,52.54,172,12,0,12,25,48.00,50,10,0,All Daniel Jones red zone passing plays,JoneDa05
Matthew Stafford,DET,23,40,57.50,157,11,0,13,24,54.17,72,9,0,All Matthew Stafford red zone passing plays,StafMa00
Patrick Mahomes,KAN,29,56,51.79,206,11,1,11,25,44.00,29,6,1,All Patrick Mahomes red zone passing plays,MahoPa00
Andy Dalton,CIN,38,73,52.05,239,10,2,13,38,34.21,44,8,0,All Andy Dalton red zone passing plays,DaltAn00
Case Keenum,WAS,21,40,52.50,121,7,0,9,22,40.91,46,6,0,All Case Keenum red zone passing plays,KeenCa00
Teddy Bridgewater,NOR,16,25,64.00,107,7,0,7,11,63.64,41,5,0,All Teddy Bridgewater red zone passing plays,BridTe00
Drew Lock,DEN,16,25,64.00,78,6,1,6,10,60.00,28,5,0,All Drew Lock red zone passing plays,LockDr00
Mason Rudolph,PIT,19,30,63.33,75,5,1,5,13,38.46,24,5,1,All Mason Rudolph red zone passing plays,RudoMa00
Dwayne Haskins,WAS,8,23,34.78,53,5,0,4,11,36.36,22,4,0,All Dwayne Haskins red zone passing plays,HaskDw00
Joe Flacco,DEN,16,34,47.06,107,4,1,7,15,46.67,37,4,1,All Joe Flacco red zone passing plays,FlacJo00
Brian Hoyer,IND,7,16,43.75,47,4,1,3,7,42.86,12,2,1,All Brian Hoyer red zone passing plays,HoyeBr00
Marcus Mariota,TEN,6,13,46.15,51,4,0,2,2,100.00,8,2,0,All Marcus Mariota red zone passing plays,MariMa01
David Blough,DET,8,16,50.00,41,3,0,5,13,38.46,27,3,0,All David Blough red zone passing plays,BlouDa00
Chase Daniel,CHI,4,7,57.14,37,3,0,2,3,66.67,14,2,0,All Chase Daniel red zone passing plays,DaniCh00
Eli Manning,NYG,8,12,66.67,40,3,0,3,5,60.00,10,3,0,All Eli Manning red zone passing plays,MannEl00
Devlin Hodges,PIT,8,14,57.14,50,2,1,1,4,25.00,2,1,0,All Devlin Hodges red zone passing plays,HodgDe00
Matt Schaub,ATL,6,9,66.67,35,2,0,4,5,80.00,25,2,0,All Matt Schaub red zone passing plays,SchaMa00
Ryan Finley,CIN,3,5,60.00,31,2,1,1,1,100.00,6,1,0,All Ryan Finley red zone passing plays,FinlRy00
Jeff Driskel,DET,3,7,42.86,29,2,0,1,5,20.00,6,0,0,All Jeff Driskel red zone passing plays,DrisJe00
Tyrod Taylor,LAC,2,2,100.00,12,1,0,0,0,,0,0,0,All Tyrod Taylor red zone passing plays,TaylTy00
Julian Edelman,NWE,1,1,100.00,15,1,0,0,0,,0,0,0,All Julian Edelman red zone passing plays,EdelJu00
Danny Amendola,DET,1,1,100.00,19,1,0,0,0,,0,0,0,All Danny Amendola red zone passing plays,AmenDa00
Brandon Allen,DEN,3,12,25.00,10,1,1,1,6,16.67,3,1,0,All Brandon Allen red zone passing plays,AlleBr00
DeAndre Hopkins,HOU,1,2,50.00,6,1,1,1,1,100.00,6,1,0,All DeAndre Hopkins red zone passing plays,HopkDe00
Mike Glennon,OAK,1,1,100.00,17,1,0,0,0,,0,0,0,All Mike Glennon red zone passing plays,GlenMi00
Robert Griffin,BAL,2,5,40.00,13,1,0,1,3,33.33,3,1,0,All Robert Griffin red zone passing plays,GrifRo01
Matt Haack,MIA,1,1,100.00,1,1,0,1,1,100.00,1,1,0,All Matt Haack red zone passing plays,HaacMa00
Christian McCaffrey,CAR,0,1,.00,0,0,0,0,1,.00,0,0,0,All Christian McCaffrey red zone passing plays,McCaCh01
Brett Hundley,ARI,1,1,100.00,0,0,0,1,1,100.00,0,0,0,All Brett Hundley red zone passing plays,HundBr00
Matt Barkley,BUF,3,7,42.86,13,0,0,1,2,50.00,8,0,0,All Matt Barkley red zone passing plays,BarkMa00
Cooper Kupp,LAR,0,1,.00,0,0,0,0,0,,0,0,0,All Cooper Kupp red zone passing plays,KuppCo00
Kelvin Harmon,WAS,1,1,100.00,11,0,0,0,0,,0,0,0,All Kelvin Harmon red zone passing plays,HarmKe00
Sean Mannion,MIN,1,4,25.00,7,0,0,0,0,,0,0,0,All Sean Mannion red zone passing plays,MannSe00
Luke Falk,NYJ,1,2,50.00,1,0,0,0,0,,0,0,0,All Luke Falk red zone passing plays,FalkLu00
A.J. McCarron,HOU,2,4,50.00,12,0,0,1,3,33.33,6,0,0,All A.J. McCarron red zone passing plays,McCaA.00
Cam Newton,CAR,1,6,16.67,8,0,0,0,0,,0,0,0,All Cam Newton red zone passing plays,NewtCa00
