Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Jimmy Graham,SEA,24,15,62.50%,94,10,36.4%,16,8,50.00%,22,8,40.0%,All Jimmy Graham red zone receiving plays,GrahJi00
Davante Adams,GNB,22,15,68.18%,140,7,34.4%,6,3,50.00%,16,3,20.0%,All Davante Adams red zone receiving plays,AdamDa01
Keenan Allen,LAC,21,9,42.86%,47,4,31.3%,15,7,46.67%,27,4,34.1%,All Keenan Allen red zone receiving plays,AlleKe00
Rob Gronkowski,NWE,21,10,47.62%,82,6,24.4%,9,4,44.44%,14,4,24.3%,All Rob Gronkowski red zone receiving plays,GronRo00
Jarvis Landry,MIA,21,17,80.95%,80,9,31.8%,14,11,78.57%,48,9,40.0%,All Jarvis Landry red zone receiving plays,LandJa00
Antonio Brown,PIT,20,11,55.00%,68,6,24.4%,10,7,70.00%,44,6,23.8%,All Antonio Brown red zone receiving plays,BrowAn04
Dez Bryant,DAL,20,11,55.00%,66,5,35.7%,10,4,40.00%,16,3,38.5%,All Dez Bryant red zone receiving plays,BryaDe01
Travis Kelce,KAN,20,9,45.00%,92,5,27.8%,3,3,100.00%,21,3,13.6%,All Travis Kelce red zone receiving plays,KelcTr00
Cooper Kupp,LAR,20,12,60.00%,107,5,26.3%,7,4,57.14%,22,2,20.0%,All Cooper Kupp red zone receiving plays,KuppCo00
DeAndre Hopkins,HOU,19,9,47.37%,49,7,35.2%,10,7,70.00%,32,7,33.3%,All DeAndre Hopkins red zone receiving plays,HopkDe00
Nelson Agholor,PHI,18,13,72.22%,63,4,24.0%,9,6,66.67%,35,3,30.0%,All Nelson Agholor red zone receiving plays,AghoNe00
Mike Evans,TAM,18,4,22.22%,34,3,26.5%,9,1,11.11%,6,1,31.0%,All Mike Evans red zone receiving plays,EvanMi00
Larry Fitzgerald,ARI,18,11,61.11%,98,5,26.1%,6,4,66.67%,15,0,25.0%,All Larry Fitzgerald red zone receiving plays,FitzLa00
Julio Jones,ATL,18,5,27.78%,33,1,26.9%,11,4,36.36%,16,1,31.4%,All Julio Jones red zone receiving plays,JoneJu02
Zach Ertz,PHI,17,11,64.71%,82,8,22.7%,7,5,71.43%,19,5,23.3%,All Zach Ertz red zone receiving plays,ErtzZa00
A.J. Green,CIN,16,7,43.75%,72,6,32.0%,8,4,50.00%,33,4,32.0%,All A.J. Green red zone receiving plays,GreeA.00
Kyle Rudolph,MIN,16,14,87.50%,92,7,27.6%,9,8,88.89%,31,4,31.0%,All Kyle Rudolph red zone receiving plays,RudoKy00
Adam Thielen,MIN,16,4,25.00%,35,2,27.6%,8,1,12.50%,7,1,27.6%,All Adam Thielen red zone receiving plays,ThieAd00
Josh Doctson,WAS,15,5,33.33%,42,4,23.8%,7,2,28.57%,3,1,28.0%,All Josh Doctson red zone receiving plays,DoctJo00
Devin Funchess,CAR,15,8,53.33%,69,5,27.3%,5,4,80.00%,27,3,19.2%,All Devin Funchess red zone receiving plays,FuncDe00
Marquise Goodwin,SFO,15,5,33.33%,50,1,17.6%,9,1,11.11%,8,1,25.0%,All Marquise Goodwin red zone receiving plays,GoodMa00
Alshon Jeffery,PHI,15,8,53.33%,68,7,20.0%,8,5,62.50%,25,5,26.7%,All Alshon Jeffery red zone receiving plays,JeffAl00
George Kittle,SFO,15,9,60.00%,41,2,17.6%,7,4,57.14%,22,2,19.4%,All George Kittle red zone receiving plays,KittGe00
LeSean McCoy,BUF,15,9,60.00%,58,2,23.1%,7,2,28.57%,10,0,20.6%,All LeSean McCoy red zone receiving plays,McCoLe01
Demaryius Thomas,DEN,15,8,53.33%,58,4,25.9%,8,4,50.00%,17,3,33.3%,All Demaryius Thomas red zone receiving plays,ThomDe03
Michael Thomas,NOR,15,9,60.00%,51,5,21.1%,9,7,77.78%,30,5,30.0%,All Michael Thomas red zone receiving plays,ThomMi05
Le'Veon Bell,PIT,14,9,64.29%,36,0,17.1%,5,3,60.00%,6,0,11.9%,All Le'Veon Bell red zone receiving plays,BellLe00
Michael Crabtree,OAK,14,7,50.00%,20,5,30.4%,11,5,45.45%,9,5,39.3%,All Michael Crabtree red zone receiving plays,CrabMi00
Marvin Jones,DET,14,4,28.57%,26,4,20.0%,8,3,37.50%,15,3,25.0%,All Marvin Jones red zone receiving plays,JoneMa02
Cameron Brate,TAM,13,5,38.46%,68,5,19.1%,4,1,25.00%,10,1,13.8%,All Cameron Brate red zone receiving plays,BratCa00
