,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Zach Ertz,PHI,27,16,59.26%,118,7,34.6%,10,7,70.00%,35,5,27.0%,All Zach Ertz red zone receiving plays,ErtzZa00
JuJu Smith-Schuster,PIT,26,14,53.85%,87,5,31.3%,11,7,63.64%,13,3,30.6%,All JuJu Smith-Schuster red zone receiving plays,SmitJu00
Michael Thomas,NOR,26,22,84.62%,138,7,28.9%,14,12,85.71%,48,6,31.8%,All Michael Thomas red zone receiving plays,ThomMi05
Alvin Kamara,NOR,25,20,80.00%,123,3,27.8%,8,7,87.50%,30,2,18.2%,All Alvin Kamara red zone receiving plays,KamaAl00
DeAndre Hopkins,HOU,24,14,58.33%,127,8,35.3%,15,7,46.67%,41,4,38.5%,All DeAndre Hopkins red zone receiving plays,HopkDe00
Travis Kelce,KAN,24,16,66.67%,129,9,26.1%,12,7,58.33%,32,5,26.7%,All Travis Kelce red zone receiving plays,KelcTr00
Davante Adams,GNB,23,14,60.87%,133,12,40.4%,8,6,75.00%,36,6,36.4%,All Davante Adams red zone receiving plays,AdamDa01
James White,NWE,22,16,72.73%,117,7,27.2%,9,4,44.44%,23,4,25.0%,All James White red zone receiving plays,WhitJa02
Julian Edelman,NWE,20,14,70.00%,106,4,24.7%,11,6,54.55%,28,3,30.6%,All Julian Edelman red zone receiving plays,EdelJu00
Adam Thielen,MIN,20,15,75.00%,90,6,30.3%,8,5,62.50%,17,4,27.6%,All Adam Thielen red zone receiving plays,ThieAd00
Antonio Brown,PIT,19,9,47.37%,55,5,22.9%,8,4,50.00%,19,4,22.2%,All Antonio Brown red zone receiving plays,BrowAn04
Todd Gurley,LAR,19,9,47.37%,78,3,21.3%,8,2,25.00%,16,1,17.8%,All Todd Gurley red zone receiving plays,GurlTo01
Sterling Shepard,NYG,19,9,47.37%,35,4,24.7%,8,5,62.50%,17,4,23.5%,All Sterling Shepard red zone receiving plays,ShepSt00
Odell Beckham,NYG,18,6,33.33%,34,4,23.4%,8,4,50.00%,20,4,23.5%,All Odell Beckham red zone receiving plays,BeckOd00
Eric Ebron,IND,18,10,55.56%,106,10,20.5%,6,4,66.67%,22,4,14.0%,All Eric Ebron red zone receiving plays,EbroEr00
George Kittle,SFO,18,9,50.00%,67,2,26.1%,8,3,37.50%,22,2,27.6%,All George Kittle red zone receiving plays,KittGe00
Jarvis Landry,CLE,18,9,50.00%,63,2,33.3%,7,4,57.14%,13,1,30.4%,All Jarvis Landry red zone receiving plays,LandJa00
Stefon Diggs,MIN,17,12,70.59%,58,6,25.8%,8,6,75.00%,18,5,27.6%,All Stefon Diggs red zone receiving plays,DiggSt00
Julio Jones,ATL,17,10,58.82%,100,5,24.3%,7,3,42.86%,3,2,18.4%,All Julio Jones red zone receiving plays,JoneJu02
Ezekiel Elliott,DAL,16,11,68.75%,64,2,23.9%,6,4,66.67%,18,1,20.0%,All Ezekiel Elliott red zone receiving plays,ElliEz00
Chris Godwin,TAM,16,6,37.50%,62,6,20.0%,11,4,36.36%,30,4,31.4%,All Chris Godwin red zone receiving plays,GodwCh00
Brandin Cooks,LAR,15,13,86.67%,91,4,16.9%,8,6,75.00%,21,2,17.8%,All Brandin Cooks red zone receiving plays,CookBr00
Corey Davis,TEN,15,6,40.00%,47,2,30.0%,9,2,22.22%,11,1,36.0%,All Corey Davis red zone receiving plays,DaviCo03
Kenny Golladay,DET,15,5,33.33%,38,4,21.7%,6,3,50.00%,14,3,21.4%,All Kenny Golladay red zone receiving plays,GollKe00
Zay Jones,BUF,15,7,46.67%,79,4,40.5%,4,2,50.00%,12,1,36.4%,All Zay Jones red zone receiving plays,JoneZa00
Keenan Allen,LAC,14,10,71.43%,82,5,21.2%,7,4,57.14%,27,3,18.4%,All Keenan Allen red zone receiving plays,AlleKe00
Tarik Cohen,CHI,14,11,78.57%,76,4,20.3%,7,4,57.14%,25,2,18.9%,All Tarik Cohen red zone receiving plays,CoheTa00
Jared Cook,OAK,14,9,64.29%,56,3,26.4%,11,7,63.64%,31,2,29.7%,All Jared Cook red zone receiving plays,CookJa02
Larry Fitzgerald,ARI,14,8,57.14%,78,5,31.8%,6,3,50.00%,11,2,26.1%,All Larry Fitzgerald red zone receiving plays,FitzLa00
Tyreek Hill,KAN,14,9,64.29%,46,5,15.2%,7,4,57.14%,6,3,15.6%,All Tyreek Hill red zone receiving plays,HillTy00
T.Y. Hilton,IND,14,6,42.86%,35,5,15.9%,10,4,40.00%,14,4,23.3%,All T.Y. Hilton red zone receiving plays,HiltT.00
Doug Baldwin,SEA,13,5,38.46%,19,3,23.6%,9,4,44.44%,16,3,30.0%,All Doug Baldwin red zone receiving plays,BaldDo00
Saquon Barkley,NYG,13,9,69.23%,62,3,16.9%,5,3,60.00%,8,1,14.7%,All Saquon Barkley red zone receiving plays,BarkSa00
John Brown,BAL,13,5,38.46%,46,3,21.0%,7,2,28.57%,16,2,22.6%,All John Brown red zone receiving plays,BrowJo02
Trey Burton,CHI,13,10,76.92%,64,5,18.8%,7,6,85.71%,16,3,18.9%,All Trey Burton red zone receiving plays,BurtTr01
Melvin Gordon,LAC,13,8,61.54%,33,3,19.7%,8,6,75.00%,33,3,21.1%,All Melvin Gordon red zone receiving plays,GordMe00
A.J. Green,CIN,13,6,46.15%,49,4,21.7%,6,2,33.33%,11,2,21.4%,All A.J. Green red zone receiving plays,GreeA.00
Jeff Heuerman,DEN,13,4,30.77%,25,2,22.0%,8,2,25.00%,8,1,23.5%,All Jeff Heuerman red zone receiving plays,HeueJe00
Austin Hooper,ATL,13,9,69.23%,49,4,18.6%,10,7,70.00%,34,4,26.3%,All Austin Hooper red zone receiving plays,HoopAu00
Adam Humphries,TAM,13,9,69.23%,73,3,16.3%,6,4,66.67%,25,3,17.1%,All Adam Humphries red zone receiving plays,HumpAd00
Alshon Jeffery,PHI,13,7,53.85%,52,6,16.7%,7,4,57.14%,12,3,18.9%,All Alshon Jeffery red zone receiving plays,JeffAl00
Christian McCaffrey,CAR,13,11,84.62%,55,4,20.6%,6,6,100.00%,20,3,18.8%,All Christian McCaffrey red zone receiving plays,McCaCh01
Josh Reynolds,LAR,13,6,46.15%,42,4,14.6%,5,3,60.00%,7,3,11.1%,All Josh Reynolds red zone receiving plays,ReynJo00
Kyle Rudolph,MIN,13,6,46.15%,29,3,19.7%,8,2,25.00%,8,2,27.6%,All Kyle Rudolph red zone receiving plays,RudoKy00
Dede Westbrook,JAX,13,7,53.85%,52,3,27.1%,7,3,42.86%,10,1,29.2%,All Dede Westbrook red zone receiving plays,WestDe00
Mike Williams,LAC,13,7,53.85%,31,6,19.7%,9,6,66.67%,28,6,23.7%,All Mike Williams red zone receiving plays,WillMi07
