,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,New England Patriots,16,195,47,24.1%,22,8,36.4%,29,14,48.3%
2,San Francisco 49ers,16,192,64,33.3%,25,8,32.0%,40,24,60.0%
3,Dallas Cowboys,16,201,67,33.3%,22,10,45.5%,57,29,50.9%
4,Philadelphia Eagles,16,205,70,34.1%,18,11,61.1%,43,24,55.8%
5,Seattle Seahawks,16,185,71,38.4%,12,7,58.3%,52,32,61.5%
6,Baltimore Ravens,16,194,72,37.1%,18,6,33.3%,44,21,47.7%
7,New Orleans Saints,16,210,73,34.8%,25,11,44.0%,47,28,59.6%
8,Tennessee Titans,16,204,74,36.3%,25,10,40.0%,47,32,68.1%
9,Cleveland Browns,16,195,74,37.9%,17,6,35.3%,57,35,61.4%
10,Green Bay Packers,16,197,75,38.1%,18,8,44.4%,48,24,50.0%
11,Kansas City Chiefs,16,202,75,37.1%,31,16,51.6%,57,29,50.9%
12,Tampa Bay Buccaneers,16,218,75,34.4%,27,13,48.1%,60,30,50.0%
13,Chicago Bears,16,209,76,36.4%,23,13,56.5%,53,29,54.7%
14,Pittsburgh Steelers,16,209,76,36.4%,21,10,47.6%,46,23,50.0%
15,Buffalo Bills,16,212,76,35.8%,21,8,38.1%,43,24,55.8%
16,Atlanta Falcons,16,193,77,39.9%,20,12,60.0%,53,31,58.5%
17,Carolina Panthers,16,193,77,39.9%,9,6,66.7%,64,41,64.1%
18,Jacksonville Jaguars,16,190,79,41.6%,11,5,45.5%,56,32,57.1%
19,Denver Broncos,16,211,79,37.4%,19,9,47.4%,46,18,39.1%
20,Oakland Raiders,16,190,81,42.6%,13,9,69.2%,55,37,67.3%
21,Miami Dolphins,16,194,81,41.8%,13,8,61.5%,59,37,62.7%
22,Minnesota Vikings,16,214,85,39.7%,29,16,55.2%,48,21,43.8%
23,Indianapolis Colts,16,199,85,42.7%,19,8,42.1%,50,26,52.0%
24,New York Giants,16,216,86,39.8%,14,8,57.1%,54,31,57.4%
25,Los Angeles Rams,16,218,86,39.4%,24,14,58.3%,52,33,63.5%
26,New York Jets,16,225,88,39.1%,12,3,25.0%,48,26,54.2%
27,Los Angeles Chargers,16,195,88,45.1%,13,8,61.5%,40,24,60.0%
28,Cincinnati Bengals,16,209,89,42.6%,10,5,50.0%,51,25,49.0%
29,Detroit Lions,16,214,94,43.9%,15,7,46.7%,57,33,57.9%
30,Houston Texans,16,202,98,48.5%,16,7,43.8%,49,35,71.4%
31,Arizona Cardinals,16,214,100,46.7%,14,3,21.4%,62,37,59.7%
32,Washington Redskins,16,227,111,48.9%,19,12,63.2%,59,36,61.0%
,League Total,,,,,,,,,,
