,,,,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Los Angeles Chargers,16,161,956,36.6,8.7,5.9,31.1,Own 29.5,2:56,1.99
2,Kansas City Chiefs,16,164,1069,34.1,13.4,6.5,34.0,Own 27.0,2:59,1.88
3,Baltimore Ravens,16,166,952,32.5,14.5,5.7,28.8,Own 27.3,2:27,1.63
4,Oakland Raiders,16,166,989,41.0,8.4,6.0,34.2,Own 25.7,2:48,2.39
5,Atlanta Falcons,16,167,1019,42.5,9.0,6.1,34.1,Own 28.8,2:47,2.26
6,Indianapolis Colts,16,170,1017,38.8,12.9,6.0,32.7,Own 29.0,2:50,2.04
7,Houston Texans,16,170,1046,38.8,12.9,6.2,36.5,Own 26.0,2:49,2.22
8,Denver Broncos,16,171,1042,36.3,8.8,6.1,31.5,Own 28.7,2:52,1.74
9,Arizona Cardinals,16,172,1112,43.0,9.3,6.5,37.4,Own 27.5,3:04,2.38
10,Dallas Cowboys,16,173,1047,35.3,9.8,6.1,30.2,Own 30.2,2:49,1.87
11,Minnesota Vikings,16,173,1086,34.7,17.3,6.3,31.6,Own 28.3,2:53,1.76
12,New Orleans Saints,16,174,1023,35.1,12.6,5.9,30.6,Own 26.5,2:33,1.95
13,Washington Redskins,16,176,1109,42.0,11.9,6.3,34.9,Own 31.9,3:01,2.38
14,San Francisco 49ers,16,177,988,28.8,14.1,5.6,25.4,Own 28.5,2:37,1.63
15,Green Bay Packers,16,178,1030,34.3,14.0,5.8,31.7,Own 28.0,2:34,1.79
16,Seattle Seahawks,16,179,1049,36.9,16.2,5.9,34.0,Own 26.6,2:38,2.02
17,Jacksonville Jaguars,16,180,1026,37.2,9.4,5.7,33.2,Own 29.5,2:37,2.12
18,Detroit Lions,16,181,1128,40.3,8.8,6.2,35.4,Own 26.1,2:47,2.23
19,Chicago Bears,16,181,1047,30.9,10.5,5.8,28.5,Own 36.0,2:38,1.66
20,Buffalo Bills,16,182,1011,23.6,12.1,5.6,26.1,Own 28.2,2:38,1.30
21,Cleveland Browns,16,182,1046,36.8,11.0,5.7,31.7,Own 28.0,2:40,2.07
22,Cincinnati Bengals,16,183,1068,39.3,8.7,5.8,34.4,Own 27.8,2:43,2.10
23,Los Angeles Rams,16,185,1086,33.5,12.4,5.9,29.2,Own 29.3,2:41,1.83
24,Miami Dolphins,16,185,1091,45.9,8.6,5.9,34.2,Own 30.5,2:44,2.55
25,New York Giants,16,186,1090,39.8,8.6,5.9,32.4,Own 29.9,2:44,2.25
26,Pittsburgh Steelers,16,187,1061,29.4,19.8,5.7,25.7,Own 30.4,2:41,1.52
27,Philadelphia Eagles,16,188,994,33.5,10.1,5.3,28.1,Own 28.9,2:19,1.86
28,Tennessee Titans,16,189,1083,31.7,11.6,5.7,30.4,Own 28.0,2:40,1.78
29,New York Jets,16,193,1071,33.7,9.8,5.5,26.7,Own 31.4,2:35,1.78
30,New England Patriots,16,194,967,19.1,17.0,5.0,22.7,Own 24.9,2:20,0.98
31,Carolina Panthers,16,197,1077,40.1,10.2,5.5,30.4,Own 30.0,2:32,2.26
32,Tampa Bay Buccaneers,16,198,1115,39.4,13.6,5.6,27.8,Own 31.4,2:22,2.01
,League Total,,5728,33495,35.7,11.8,5.8,31.0,Own 28.8,2:41,1.94
