Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Chicago Bears,16,5,22,,1,,1,1,30,3,8,,22,22,25,26,,283,17.7
2,Baltimore Ravens,16,11,21,,,1,,,33,1,4,,27,29,20,26,,287,17.9
3,Tennessee Titans,16,9,21,,1,,1,,32,,0,,31,32,26,29,1,303,18.9
4,Houston Texans,16,8,28,,,,,,36,1,4,,29,32,23,26,,316,19.8
5,Jacksonville Jaguars,16,16,17,,,,1,,34,1,4,,29,30,27,31,,316,19.8
6,Dallas Cowboys,16,12,22,,,1,,,35,1,2,,31,33,27,30,,324,20.3
7,New England Patriots,16,7,29,,,,,,36,,1,,34,34,25,29,,325,20.3
8,Los Angeles Chargers,16,11,23,1,,1,1,1,38,1,7,,30,31,23,30,,329,20.6
9,Minnesota Vikings,16,13,15,,,2,3,1,34,5,5,,28,29,33,36,,341,21.3
10,Indianapolis Colts,16,12,21,,,2,2,,37,,0,,36,37,28,33,1,344,21.5
11,Seattle Seahawks,16,9,26,,1,,2,1,39,2,5,,31,34,26,33,,347,21.7
12,Philadelphia Eagles,16,14,22,,,1,,,37,1,3,,28,32,32,37,,348,21.8
13,Denver Broncos,16,11,26,1,,1,,,39,,0,,35,39,26,31,,349,21.8
14,New Orleans Saints,16,12,30,,,1,,,43,5,6,,32,37,17,23,,353,22.1
15,Washington Redskins,16,12,27,1,,,3,,43,2,4,,34,38,21,26,,359,22.4
16,Detroit Lions,16,11,29,1,,1,2,,44,2,5,,35,39,19,28,,360,22.5
17,Pittsburgh Steelers,16,13,27,1,,,1,,42,2,3,,38,39,22,26,,360,22.5
18,Buffalo Bills,16,17,22,,,1,4,,44,1,5,,36,39,24,27,,374,23.4
19,Carolina Panthers,16,13,32,,,,1,,46,2,2,,42,43,20,23,,382,23.9
20,Los Angeles Rams,16,12,31,,,1,,,44,2,2,,39,42,25,28,1,384,24.0
21,Cleveland Browns,16,20,21,,,,2,,43,3,4,,36,39,30,37,1,392,24.5
22,Green Bay Packers,16,15,30,,1,,1,,47,2,3,,43,44,23,31,1,400,25.0
23,New York Giants,16,18,24,,,1,1,,44,5,6,,39,39,31,35,,412,25.8
24,Kansas City Chiefs,16,19,30,,,1,1,,51,5,11,,37,40,22,26,1,421,26.3
25,Atlanta Falcons,16,16,33,,,2,1,,52,2,7,,41,44,22,22,,423,26.4
26,Arizona Cardinals,16,25,21,,,,4,,50,3,8,,42,42,25,31,1,425,26.6
27,Miami Dolphins,16,17,31,,1,1,2,,52,1,2,,47,50,24,32,,433,27.1
28,San Francisco 49ers,16,13,35,,,1,3,,52,2,2,,45,50,24,27,1,435,27.2
29,New York Jets,16,16,29,,,1,2,,48,2,4,,42,44,33,39,1,441,27.6
30,Cincinnati Bengals,16,17,32,1,,,1,,51,3,5,,44,46,33,36,,455,28.4
31,Tampa Bay Buccaneers,16,19,34,,,1,3,,57,3,3,,51,54,21,23,1,464,29.0
32,Oakland Raiders,16,16,36,1,,1,2,,56,3,4,,50,52,25,30,,467,29.2
,Avg Team,,13.7,26.5,0.2,0.2,0.8,1.4,0.1,42.8,2.1,4.0,0.1,36.4,38.6,25.1,29.6,0.3,373.5,23.3
,League Total,,439,847,7,5,24,45,4,1371,66,129,2,1164,1235,802,947,10,11952,23.3
,Avg Tm/G,,0.86,1.65,0.01,0.01,0.05,0.09,0.01,2.68,0.13,0.25,0.00,2.27,2.41,1.57,1.85,0.02,23.3,
