,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Indianapolis Colts,16,214,104,48.6%,15,7,46.7%,64,44,68.8%
2,Baltimore Ravens,16,231,104,45.0%,22,13,59.1%,59,33,55.9%
3,Jacksonville Jaguars,16,230,93,40.4%,17,8,47.1%,34,15,44.1%
4,Atlanta Falcons,16,203,92,45.3%,19,10,52.6%,50,32,64.0%
5,Dallas Cowboys,16,215,89,41.4%,21,12,57.1%,50,24,48.0%
6,Pittsburgh Steelers,16,198,88,44.4%,14,9,64.3%,49,36,73.5%
7,Tampa Bay Buccaneers,16,187,86,46.0%,13,9,69.2%,60,36,60.0%
8,Los Angeles Rams,16,191,86,45.0%,15,6,40.0%,80,46,57.5%
9,Philadelphia Eagles,16,205,84,41.0%,23,14,60.9%,57,33,57.9%
10,Kansas City Chiefs,16,176,83,47.2%,15,12,80.0%,71,51,71.8%
11,Chicago Bears,16,200,82,41.0%,15,9,60.0%,54,36,66.7%
12,Tennessee Titans,16,205,82,40.0%,12,7,58.3%,47,25,53.2%
13,New England Patriots,16,201,82,40.8%,14,7,50.0%,57,34,59.6%
14,New Orleans Saints,16,184,82,44.6%,16,13,81.3%,69,48,69.6%
15,Seattle Seahawks,16,208,81,38.9%,14,11,78.6%,55,36,65.5%
16,Houston Texans,16,208,77,37.0%,12,8,66.7%,60,30,50.0%
17,Carolina Panthers,16,185,77,41.6%,19,9,47.4%,58,36,62.1%
18,New York Giants,16,206,76,36.9%,20,12,60.0%,54,27,50.0%
19,Green Bay Packers,16,204,75,36.8%,20,10,50.0%,47,29,61.7%
20,Detroit Lions,16,208,75,36.1%,18,11,61.1%,49,26,53.1%
21,Washington Redskins,16,206,75,36.4%,18,10,55.6%,40,21,52.5%
22,Minnesota Vikings,16,204,73,35.8%,21,9,42.9%,50,27,54.0%
23,Oakland Raiders,16,197,73,37.1%,16,7,43.8%,43,23,53.5%
24,San Francisco 49ers,16,193,73,37.8%,10,5,50.0%,51,21,41.2%
25,Cleveland Browns,16,208,73,35.1%,21,9,42.9%,48,32,66.7%
26,Los Angeles Chargers,16,177,70,39.5%,8,7,87.5%,53,34,64.2%
27,New York Jets,16,214,69,32.2%,22,11,50.0%,45,20,44.4%
28,Denver Broncos,16,207,69,33.3%,25,15,60.0%,44,25,56.8%
29,Cincinnati Bengals,16,187,69,36.9%,17,9,52.9%,45,32,71.1%
30,Buffalo Bills,16,215,68,31.6%,18,7,38.9%,37,22,59.5%
31,Arizona Cardinals,16,199,58,29.1%,16,6,37.5%,28,18,64.3%
32,Miami Dolphins,16,186,56,30.1%,13,8,61.5%,31,16,51.6%
,League Total,,,,,,,,,,
