Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Philadelphia Eagles,16,229,104,45.4%,24,8,33.3%,54,36,66.7%
2,Dallas Cowboys,16,204,96,47.1%,16,7,43.8%,54,31,57.4%
3,Detroit Lions,16,220,90,40.9%,13,5,38.5%,42,25,59.5%
4,San Francisco 49ers,16,200,90,45.0%,12,7,58.3%,62,33,53.2%
5,Tampa Bay Buccaneers,16,217,90,41.5%,17,9,52.9%,54,35,64.8%
6,Kansas City Chiefs,16,187,89,47.6%,10,6,60.0%,50,27,54.0%
7,Oakland Raiders,16,201,88,43.8%,19,11,57.9%,53,28,52.8%
8,Baltimore Ravens,16,187,88,47.1%,24,17,70.8%,64,43,67.2%
9,Atlanta Falcons,16,207,87,42.0%,21,13,61.9%,60,31,51.7%
10,New England Patriots,16,227,87,38.3%,15,6,40.0%,60,30,50.0%
11,Indianapolis Colts,16,207,86,41.5%,24,14,58.3%,56,36,64.3%
12,Los Angeles Chargers,16,194,86,44.3%,18,10,55.6%,53,28,52.8%
13,Houston Texans,16,193,84,43.5%,25,13,52.0%,53,34,64.2%
14,Los Angeles Rams,16,208,83,39.9%,13,3,23.1%,59,38,64.4%
15,Minnesota Vikings,16,194,83,42.8%,15,8,53.3%,56,34,60.7%
16,New Orleans Saints,16,192,81,42.2%,13,5,38.5%,57,34,59.6%
17,Cincinnati Bengals,16,222,80,36.0%,26,13,50.0%,48,21,43.8%
18,Seattle Seahawks,16,200,79,39.5%,14,7,50.0%,60,38,63.3%
19,New York Giants,16,212,79,37.3%,31,14,45.2%,42,24,57.1%
20,Chicago Bears,16,216,77,35.6%,21,7,33.3%,46,24,52.2%
21,Buffalo Bills,16,212,76,35.8%,18,8,44.4%,44,25,56.8%
22,Jacksonville Jaguars,16,220,76,34.5%,25,12,48.0%,47,19,40.4%
23,Green Bay Packers,16,203,73,36.0%,14,7,50.0%,50,32,64.0%
24,Miami Dolphins,16,207,71,34.3%,28,13,46.4%,48,27,56.3%
25,Arizona Cardinals,16,197,71,36.0%,20,13,65.0%,53,24,45.3%
26,Cleveland Browns,16,196,71,36.2%,17,7,41.2%,50,29,58.0%
27,Tennessee Titans,16,185,70,37.8%,14,4,28.6%,45,34,75.6%
28,Pittsburgh Steelers,16,195,67,34.4%,15,2,13.3%,40,14,35.0%
29,Carolina Panthers,16,207,66,31.9%,24,12,50.0%,50,29,58.0%
30,New York Jets,16,212,65,30.7%,19,7,36.8%,33,18,54.5%
31,Denver Broncos,16,202,64,31.7%,16,11,68.8%,42,20,47.6%
32,Washington Redskins,16,179,52,29.1%,14,6,42.9%,41,20,48.8%
,League Total,,,,,,,,,,
