Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Denver Broncos,16,198,1055,30.3,11.6,5.3,26.1,Own 29.1,2:21,1.54
2,Arizona Cardinals,16,197,1116,35.0,14.2,5.7,29.5,Own 29.7,2:31,2.03
3,San Francisco 49ers,16,197,1021,27.4,10.7,5.2,25.0,Own 27.2,2:11,1.55
4,Oakland Raiders,16,194,1083,38.7,7.2,5.6,30.7,Own 31.7,2:37,2.11
5,Carolina Panthers,16,193,1089,34.7,14.0,5.6,28.5,Own 30.4,2:33,1.81
6,Los Angeles Rams,16,193,987,21.8,14.5,5.1,21.7,Own 27.4,2:26,1.13
7,New York Giants,16,193,1042,27.5,13.0,5.4,27.4,Own 27.6,2:21,1.49
8,Baltimore Ravens,16,191,1118,35.6,10.5,5.9,29.1,Own 28.9,2:35,1.70
9,Jacksonville Jaguars,16,191,1090,31.4,13.6,5.7,28.0,Own 26.6,2:27,1.63
10,Miami Dolphins,16,189,938,30.7,11.1,5.0,28.0,Own 29.6,2:27,1.81
11,New York Jets,16,185,1036,29.7,17.8,5.6,28.5,Own 27.5,2:39,1.50
12,Seattle Seahawks,16,185,1044,37.3,9.7,5.6,30.8,Own 29.5,2:36,1.90
13,Houston Texans,16,185,1113,31.4,11.4,6.0,27.2,Own 28.6,2:44,1.44
14,Tennessee Titans,16,184,1035,36.4,9.8,5.6,31.0,Own 28.2,2:39,2.07
15,Pittsburgh Steelers,16,182,1058,38.5,9.9,5.8,32.7,Own 27.3,2:42,2.16
16,Tampa Bay Buccaneers,16,182,1095,32.4,14.8,6.0,30.3,Own 28.4,2:43,1.79
17,New England Patriots,16,182,1095,42.9,4.9,6.0,33.9,Own 30.9,2:45,2.41
18,New Orleans Saints,16,181,1137,45.9,12.7,6.3,37.8,Own 27.4,2:44,2.59
19,San Diego Chargers,16,181,1050,38.1,18.2,5.8,31.4,Own 28.1,2:42,2.09
20,Indianapolis Colts,16,180,1070,40.6,12.2,5.9,32.3,Own 28.3,2:45,2.24
21,Cleveland Browns,16,180,1014,27.2,13.3,5.6,27.4,Own 23.4,2:31,1.44
22,Kansas City Chiefs,16,178,1030,37.1,9.0,5.8,30.7,Own 30.5,2:45,1.90
23,Philadelphia Eagles,16,178,1123,37.6,11.2,6.3,30.1,Own 30.3,2:55,1.85
24,Buffalo Bills,16,177,1046,36.7,6.8,5.9,31.8,Own 28.9,2:42,2.14
25,Green Bay Packers,16,176,1061,43.8,9.1,6.0,33.6,Own 29.6,2:50,2.47
26,Cincinnati Bengals,16,176,1083,35.8,8.5,6.2,32.4,Own 26.8,2:45,1.87
27,Washington Redskins,16,175,1052,43.4,11.4,6.0,36.9,Own 27.4,2:45,2.26
28,Atlanta Falcons,16,175,1031,52.6,6.3,5.9,38.0,Own 29.3,2:47,2.90
29,Minnesota Vikings,16,174,1037,32.8,7.5,6.0,28.9,Own 31.2,2:49,1.67
30,Dallas Cowboys,16,173,1045,43.9,8.7,6.0,34.8,Own 28.8,2:57,2.45
31,Chicago Bears,16,172,991,27.3,17.4,5.8,33.0,Own 25.5,2:37,1.49
32,Detroit Lions,16,156,1015,41.0,9.0,6.5,34.8,Own 25.7,3:05,2.08
,League Total,,5853,33800,35.6,11.3,5.8,30.6,Own 28.4,2:39,1.91
