,,,,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Arizona Cardinals,16,202,1091,29.2,12.4,5.4,24.9,Own 29.7,2:28,1.41
2,New York Jets,16,199,1019,28.6,11.1,5.1,24.5,Own 27.6,2:26,1.50
3,Jacksonville Jaguars,16,199,1115,34.7,11.1,5.6,29.4,Own 29.2,2:36,1.82
4,Seattle Seahawks,16,197,1039,30.5,8.6,5.3,26.8,Own 28.5,2:23,1.71
5,New York Giants,16,194,1064,22.7,11.3,5.5,25.9,Own 26.7,2:22,1.22
6,Denver Broncos,16,193,1106,26.4,16.6,5.7,26.9,Own 27.0,2:37,1.35
7,Baltimore Ravens,16,192,1095,36.5,8.9,5.7,25.4,Own 32.8,2:34,1.84
8,Houston Texans,16,192,1054,29.2,14.6,5.5,26.7,Own 25.3,2:30,1.63
9,Washington Redskins,16,191,1012,31.9,12.6,5.3,27.0,Own 29.4,2:30,1.73
10,Philadelphia Eagles,16,191,1109,40.3,9.4,5.8,30.5,Own 30.0,2:44,2.21
11,Tennessee Titans,16,191,1017,35.1,12.6,5.3,26.3,Own 28.7,2:32,1.72
12,Los Angeles Rams,16,190,1047,45.3,9.5,5.5,30.4,Own 32.9,2:32,2.33
13,Miami Dolphins,16,190,1024,25.8,15.3,5.4,25.9,Own 28.1,2:29,1.36
14,Cleveland Browns,16,186,1028,22.0,21.0,5.5,26.5,Own 26.5,2:26,1.22
15,Minnesota Vikings,16,185,1094,38.9,7.6,5.9,30.9,Own 29.4,2:48,2.03
16,Cincinnati Bengals,16,185,946,26.5,11.4,5.1,24.2,Own 27.9,2:22,1.46
17,Detroit Lions,16,185,1017,37.3,11.9,5.5,29.1,Own 29.9,2:35,1.96
18,San Francisco 49ers,16,184,1102,37.5,12.0,6.0,30.3,Own 27.6,2:33,1.78
19,Buffalo Bills,16,180,1066,31.7,8.9,5.9,26.9,Own 28.2,2:31,1.57
20,Indianapolis Colts,16,180,1030,29.4,8.3,5.7,25.2,Own 27.3,2:38,1.42
21,Pittsburgh Steelers,16,179,1091,43.0,10.6,6.1,33.7,Own 29.3,2:52,2.23
22,Carolina Panthers,16,179,1059,37.4,11.7,5.9,28.8,Own 30.0,2:53,1.97
23,Oakland Raiders,16,178,978,29.2,15.2,5.5,29.1,Own 28.3,2:36,1.69
24,Los Angeles Chargers,16,177,1052,33.3,8.5,5.9,34.1,Own 26.1,2:45,1.88
25,Kansas City Chiefs,16,176,1032,44.9,6.3,5.9,34.0,Own 29.1,2:49,2.21
26,New Orleans Saints,16,175,1044,44.6,9.1,6.0,35.6,Own 29.6,2:51,2.41
27,Tampa Bay Buccaneers,16,175,1073,33.7,15.4,6.1,33.1,Own 27.6,2:43,1.79
28,Green Bay Packers,16,174,1024,30.5,13.2,5.9,28.1,Own 26.5,2:41,1.79
29,Chicago Bears,16,174,961,24.1,12.1,5.5,26.3,Own 27.1,2:41,1.32
30,New England Patriots,16,174,1110,49.4,6.9,6.4,36.1,Own 28.5,2:49,2.61
31,Dallas Cowboys,16,171,1041,36.3,11.1,6.1,31.1,Own 29.9,2:50,2.02
32,Atlanta Falcons,16,165,1027,41.2,10.3,6.2,35.3,Own 25.9,2:54,2.06
,League Total,,5903,33567,33.8,11.4,5.7,28.9,Own 28.5,2:37,1.78
