Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Buffalo Bills,17,20,36,,,,1,,57,3,6,,51,51,28,32,,483,28.4
2,New England Patriots,17,24,24,,,,3,,51,3,4,,42,47,36,39,,462,27.2
3,Denver Broncos,17,16,20,,,,1,,37,1,3,,33,34,26,31,,335,19.7
4,New Orleans Saints,17,12,29,,,,2,,43,,5,,31,38,25,30,,364,21.4
5,Tampa Bay Buccaneers,17,18,43,,,,2,,63,1,3,,56,59,25,31,,511,30.1
6,Tennessee Titans,17,23,22,,,2,2,,49,2,2,,43,47,26,32,,419,24.6
7,Dallas Cowboys,17,15,40,,1,1,5,2,64,6,10,,47,53,29,35,,530,31.2
8,Kansas City Chiefs,17,16,37,,,2,2,,57,2,3,,50,53,28,32,,480,28.2
9,San Francisco 49ers,17,22,26,,,,2,,50,2,3,,42,46,27,32,,427,25.1
10,Indianapolis Colts,17,22,27,,,1,,2,52,2,5,,46,47,29,35,1,451,26.5
11,Arizona Cardinals,17,23,27,,,1,1,,52,,3,,47,49,30,37,,449,26.4
12,Seattle Seahawks,17,18,30,,1,,,,49,1,2,1,44,47,17,23,1,395,23.2
13,Green Bay Packers,17,13,39,,,,2,,54,1,3,,49,51,25,34,,450,26.5
14,Cleveland Browns,17,20,21,,,1,1,,43,3,4,,37,39,16,22,,349,20.5
15,Los Angeles Rams,17,10,41,1,,,,,52,2,3,,48,49,32,34,,460,27.1
16,Miami Dolphins,17,12,21,,,2,3,1,39,2,3,,34,35,23,31,,341,20.1
17,Cincinnati Bengals,17,16,36,,,1,1,,54,1,5,,47,49,29,34,,460,27.1
18,Philadelphia Eagles,17,25,20,,,3,2,,50,5,6,,44,44,30,33,,444,26.1
19,Baltimore Ravens,17,18,21,,,1,1,,41,2,8,,32,32,35,37,,387,22.8
20,Pittsburgh Steelers,17,10,23,,,,,1,34,2,5,,27,29,36,40,,343,20.2
21,Carolina Panthers,17,17,14,,,,,1,32,3,4,,26,28,26,29,1,304,17.9
22,Chicago Bears,17,14,16,1,,1,1,,33,3,4,,27,28,26,30,1,311,18.3
23,New York Giants,17,8,15,,,,1,,24,4,5,,17,17,29,33,1,258,15.2
24,Minnesota Vikings,17,10,34,,2,,2,,48,1,7,,36,40,33,38,,425,25.0
25,Washington Football Team,17,13,21,,1,,2,,37,2,8,,25,29,28,33,,335,19.7
26,Las Vegas Raiders,17,14,23,,,,,,37,,3,,30,33,40,43,1,374,22.0
27,Houston Texans,17,8,21,,1,,1,,31,2,2,,25,29,21,27,1,280,16.5
28,Jacksonville Jaguars,17,13,12,,1,1,,1,28,2,6,,18,22,21,27,,253,14.9
29,Atlanta Falcons,17,11,20,,,,2,,33,1,3,,30,30,27,29,1,313,18.4
30,Los Angeles Chargers,17,18,38,,1,1,,,58,7,11,,40,47,24,27,,474,27.9
31,Detroit Lions,17,12,23,,,,,,35,5,6,,27,28,26,30,,325,19.1
32,New York Jets,17,14,20,,1,,1,,36,4,9,,23,27,21,27,,310,18.2
,Avg Team,,15.8,26.3,0.1,0.3,0.6,1.3,0.3,44.5,2.3,4.8,0.0,36.7,39.3,27.3,32.1,0.3,390.7,23.0
,League Total,,505,840,2,9,18,41,8,1423,75,154,1,1174,1257,874,1027,8,12502,23.0
,Avg Tm/G,,0.93,1.54,,0.02,0.03,0.08,0.01,2.62,0.14,0.28,0.00,2.16,2.31,1.61,1.89,0.01,23.0,
